NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",54,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",72,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",153,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",110,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",93,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",112,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",42,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",91,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",53,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",32,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",91,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",67,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",75,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",142,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",101,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",120,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",120,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",46,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",111,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",46,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",29,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",143,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",24,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",70,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",126,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",153,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",82,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",78,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",51,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",106,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",49,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",53,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",169,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",54,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",58,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",133,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",141,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",137,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",81,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",77,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",154,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",57,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",128,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",190,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,62,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,123,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,286,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,137,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,172,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,100,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,93,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,165,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,51,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,114,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,190,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,59,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,81,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,215,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,148,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,166,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,122,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,126,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,194,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,51,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,117,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,148,17,031,834800,2023
