NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",1261,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",1263,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",3370,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",2565,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",2689,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",2319,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",2137,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",2349,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",1715,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",1262,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",1462,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",1141,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",1166,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",3214,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",2655,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",2347,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",2265,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",2364,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",2324,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",1522,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",1240,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",1454,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",799,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",1249,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",3031,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",2175,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",2298,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",1992,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",2460,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",2274,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",1360,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",1089,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",1551,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",881,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",980,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",3595,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",2013,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",1886,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",1831,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",2267,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",2002,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",1181,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",1052,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",1553,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,1036,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,1172,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,3266,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,2185,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,1910,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,1580,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,2223,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,1763,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,1560,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,1099,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,1549,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,942,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,996,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,3044,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,2068,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,1937,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,1756,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,2000,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,1792,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,1654,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,1079,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,1581,17,031,834800,2023
