NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",254,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",207,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",713,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",449,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",450,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",489,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",309,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",440,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",477,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",298,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",307,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",277,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",249,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",897,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",532,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",506,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",495,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",379,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",511,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",484,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",346,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",382,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",307,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",334,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",1183,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",590,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",510,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",549,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",554,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",549,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",542,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",320,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",438,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",395,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",363,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",1379,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",616,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",543,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",583,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",585,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",585,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",521,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",377,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",473,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,451,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,376,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,1354,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,727,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,632,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,537,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,632,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,515,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,647,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,482,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,500,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,508,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,345,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,1291,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,747,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,744,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,630,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,730,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,535,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,655,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,482,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,551,17,031,834800,2023
