NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",23675,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",28304,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",17295,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",16064,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",21266,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",19662,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",25927,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",38385,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",24500,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",22104,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",21101,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",24335,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",30244,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",16411,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",17118,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",22266,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",19915,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",25360,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",43750,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",27631,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",23125,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",18636,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",23910,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",32614,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",19167,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",18006,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",22762,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",17058,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",16310,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",45128,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",27431,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",23992,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",17241,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",28438,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",43929,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",20370,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",19919,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",29031,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",16538,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",16209,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",49119,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",25000,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",24412,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",18973,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,39306,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,50330,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,22846,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,-666666666,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,32583,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,17338,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,17500,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,51531,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,26304,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,34250,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,20771,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,42639,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,52237,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,18333,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,27844,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,36083,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,23250,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,21888,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,51835,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,24836,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,37000,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,21636,17,031,834800,2023
