NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",593,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",670,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",1292,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",1222,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",1276,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",984,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",913,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",696,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",794,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",738,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",671,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",459,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",590,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",1479,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",1348,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",986,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",1037,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",1038,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",587,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",568,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",524,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",701,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",213,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",477,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",1502,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",1065,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",1206,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",1064,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",1266,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",567,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",603,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",421,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",639,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",277,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",347,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",1583,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",941,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",743,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",1024,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",1208,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",488,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",809,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",303,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",648,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,347,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,288,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,1285,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,1178,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,738,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,884,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,1096,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,223,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,727,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,396,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,523,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,340,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,168,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,1253,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,960,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,582,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,912,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,782,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,146,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,777,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,533,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,506,17,031,834800,2023
