NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",270,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",243,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",1487,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",772,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",735,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",660,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",521,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",337,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",691,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",496,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",571,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",294,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",253,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",1574,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",734,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",639,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",668,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",574,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",443,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",644,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",447,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",573,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",338,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",349,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",1619,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",665,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",690,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",660,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",641,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",396,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",642,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",388,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",583,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",319,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",335,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",1776,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",629,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",474,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",665,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",711,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",372,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",613,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",419,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",608,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,330,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,343,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,1643,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,728,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,479,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,604,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,763,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,331,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,589,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,415,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,544,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,337,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,328,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,1705,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,782,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,454,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,712,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,716,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,333,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,647,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,403,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,530,17,031,834800,2023
