NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",202,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",229,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",905,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",606,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",473,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",426,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",307,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",358,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",332,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",280,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",312,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",143,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",217,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",982,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",518,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",482,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",414,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",396,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",253,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",291,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",210,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",337,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",131,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",324,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",913,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",547,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",434,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",406,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",525,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",271,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",309,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",233,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",372,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",142,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",242,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",999,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",483,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",336,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",416,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",574,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",208,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",284,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",220,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",374,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,174,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,265,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,998,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,630,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,352,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,364,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,668,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,151,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,436,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,253,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,407,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,238,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,226,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,1010,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,634,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,342,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,466,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,705,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,96,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,497,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,248,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,407,17,031,834800,2023
