NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",1333,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",1308,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",3430,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",2641,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",2910,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",2511,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",2279,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",2433,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",1975,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",1426,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",1546,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",1235,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",1171,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",3302,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",2793,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",2595,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",2472,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",2418,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",2407,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",1681,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",1258,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",1589,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",1050,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",1254,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",3317,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",2307,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",2381,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",2254,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",2532,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",2419,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",1683,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",1130,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",1692,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",1144,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",994,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",3881,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",2107,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",1907,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",2124,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",2350,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",2129,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",1587,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",1094,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",1737,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,1474,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,1178,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,3560,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,2297,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,1932,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,1883,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,2323,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,1879,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,1825,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,1344,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,1683,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,1412,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,996,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,3307,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,2561,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,2105,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,2009,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,2103,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,1826,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,1906,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,1474,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,1712,17,031,834800,2023
