NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",22,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",33,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",31,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",32,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",10,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",0,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",7,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",0,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",36,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",1,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",0,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",36,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",2,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",50,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",12,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",6,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",8,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",8,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",0,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",14,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",4,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",0,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",34,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",2,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",67,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",13,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",6,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",82,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",14,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",0,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",25,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",10,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",2,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",57,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",7,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",67,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",0,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",4,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",84,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",14,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",0,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",24,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",13,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",19,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,54,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,3,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,54,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,2,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,3,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,91,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,13,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,2,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,21,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,15,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,18,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,87,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,0,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,62,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,1,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,3,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,87,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,6,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,3,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,20,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,11,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,20,17,031,834800,2023
