NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",475,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",521,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",929,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",861,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",584,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",456,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",745,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",789,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",1325,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",847,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",565,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",492,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",527,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",482,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",468,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",438,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",560,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",883,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",891,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",633,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",545,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",812,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",782,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",1142,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",796,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",633,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",498,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",508,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",478,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",415,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",448,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",613,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",941,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",1001,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",693,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",536,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",812,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",772,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",1204,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",771,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",716,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",607,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",547,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",472,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",468,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",542,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",660,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",934,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",1020,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",763,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",562,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",785,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",820,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",1153,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",832,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",731,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",543,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",549,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",473,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",535,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,636,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,854,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,931,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,1010,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,764,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,542,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,680,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,874,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,1315,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,885,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,753,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,541,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,487,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,477,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,644,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,650,17,031,160100,2023
Census Tract 1602; Cook County; Illinois,934,17,031,160200,2023
Census Tract 1603; Cook County; Illinois,910,17,031,160300,2023
Census Tract 1604; Cook County; Illinois,963,17,031,160400,2023
Census Tract 1605.01; Cook County; Illinois,842,17,031,160501,2023
Census Tract 1605.02; Cook County; Illinois,616,17,031,160502,2023
Census Tract 1606.01; Cook County; Illinois,746,17,031,160601,2023
Census Tract 1606.02; Cook County; Illinois,967,17,031,160602,2023
Census Tract 1607; Cook County; Illinois,1136,17,031,160700,2023
Census Tract 1608; Cook County; Illinois,912,17,031,160800,2023
Census Tract 1609; Cook County; Illinois,633,17,031,160900,2023
Census Tract 1610; Cook County; Illinois,545,17,031,161000,2023
Census Tract 1611; Cook County; Illinois,463,17,031,161100,2023
Census Tract 1612; Cook County; Illinois,425,17,031,161200,2023
Census Tract 1613; Cook County; Illinois,730,17,031,161300,2023
