NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",608,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",648,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",566,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",1791,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",2075,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",2610,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",1514,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",1593,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",2561,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",2552,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",777,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",757,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",325,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",1963,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",2303,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",670,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",634,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",486,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",1771,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",2048,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",2436,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",1339,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",1692,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",2415,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",3161,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",704,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",680,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",367,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",1982,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",2041,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",629,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",577,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",506,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",1442,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",2010,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",2395,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",1096,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",1671,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",2654,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",3532,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",766,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",670,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",389,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",1865,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",1860,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",540,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",663,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",572,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",1415,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",1859,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",2361,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",1021,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",1616,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",2790,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",3453,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",867,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",573,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",417,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",1543,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",2005,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,654,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,886,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,550,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,1758,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,1583,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,2205,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,829,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,1435,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,2454,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,3185,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,525,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,440,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,363,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,1614,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,2172,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,654,17,031,160100,2023
Census Tract 1602; Cook County; Illinois,691,17,031,160200,2023
Census Tract 1603; Cook County; Illinois,514,17,031,160300,2023
Census Tract 1604; Cook County; Illinois,2126,17,031,160400,2023
Census Tract 1605.01; Cook County; Illinois,2058,17,031,160501,2023
Census Tract 1605.02; Cook County; Illinois,2038,17,031,160502,2023
Census Tract 1606.01; Cook County; Illinois,805,17,031,160601,2023
Census Tract 1606.02; Cook County; Illinois,1422,17,031,160602,2023
Census Tract 1607; Cook County; Illinois,3348,17,031,160700,2023
Census Tract 1608; Cook County; Illinois,3219,17,031,160800,2023
Census Tract 1609; Cook County; Illinois,483,17,031,160900,2023
Census Tract 1610; Cook County; Illinois,393,17,031,161000,2023
Census Tract 1611; Cook County; Illinois,390,17,031,161100,2023
Census Tract 1612; Cook County; Illinois,1501,17,031,161200,2023
Census Tract 1613; Cook County; Illinois,2123,17,031,161300,2023
