NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",69844,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",82765,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",56790,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",56029,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",56190,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",57400,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",68902,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",64917,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",79671,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",60409,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",82872,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",82740,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",116563,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",62250,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",47931,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",68750,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",85216,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",57568,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",61815,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",60349,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",56875,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",69375,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",66776,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",72317,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",63007,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",86060,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",88750,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",143438,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",67903,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",51578,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",80156,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",101806,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",66338,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",55673,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",70347,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",72540,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",68092,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",66250,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",76829,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",70035,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",90875,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",92105,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",137292,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",57574,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",50896,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",88625,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",113482,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",74125,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",70764,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",75563,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",82742,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",73796,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",78250,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",76469,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",75088,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",91615,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",95144,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",137750,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",62833,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",49460,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,107137,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,124364,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,77721,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,72325,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,73946,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,100147,17,031,160502,2022
