NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",525,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",814,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",850,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",881,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",530,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",580,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",639,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",636,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",1044,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",766,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",543,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",460,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",557,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",581,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",534,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",540,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",794,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",858,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",922,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",552,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",590,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",639,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",667,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",999,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",731,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",478,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",481,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",586,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",620,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",603,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",606,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",826,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",851,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",1036,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",599,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",643,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",656,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",747,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",1148,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",771,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",598,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",421,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",560,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",609,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",582,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",635,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",856,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",864,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",991,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",586,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",754,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",761,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",785,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",1239,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",782,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",639,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",443,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",581,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",646,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",588,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,670,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,885,17,031,160200,2022
