NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",2577,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",3002,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",3764,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",4693,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",3870,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",3782,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",3529,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",3681,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",6191,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",4909,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",2464,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",2151,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",2043,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",3090,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",3919,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",2537,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",3023,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",3524,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",4734,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",4019,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",3729,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",3362,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",3735,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",5811,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",5459,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",2535,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",2171,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",2038,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",3121,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",3732,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",2534,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",3138,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",3672,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",4799,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",3631,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",3838,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",3191,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",3703,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",5860,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",5640,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",2653,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",2228,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",2040,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",3116,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",3561,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",2847,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",3325,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",3475,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",4790,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",3718,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",3919,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",3196,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",3743,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",6275,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",5604,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",2512,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",2098,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",2171,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",2945,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",3662,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,2757,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,3356,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,3685,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,5171,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,3270,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,4012,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,3003,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,3757,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,6265,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,5236,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,2420,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,1986,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,2024,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,2873,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,3769,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,2652,17,031,160100,2023
Census Tract 1602; Cook County; Illinois,3458,17,031,160200,2023
Census Tract 1603; Cook County; Illinois,3545,17,031,160300,2023
Census Tract 1604; Cook County; Illinois,5200,17,031,160400,2023
