NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",1569,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",1561,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",1204,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",1866,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",937,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",1621,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",1830,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",992,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",1528,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",1272,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",1661,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",1630,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",2008,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",1069,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",1519,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",1610,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",1536,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",1284,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",2026,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",1012,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",1590,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",1685,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",1569,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",1278,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,2049,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,1043,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,1587,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,1736,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,1584,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,1306,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,2010,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,1104,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,1549,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,1941,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,1684,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,1271,17,031,110502,2023
