NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",69736,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",86512,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",59875,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",79122,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",81731,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",81014,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",77813,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",85474,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",84273,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",62155,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",82634,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",68996,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",82538,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",65034,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",85263,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",68080,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",91721,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",61486,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",88630,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",68043,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",101375,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",73633,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",95609,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",63891,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,96514,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,68824,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,115833,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,81250,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,101220,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,71440,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,94141,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,66429,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,122652,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,85825,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,104848,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,80762,17,031,110502,2023
