NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",363,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",276,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",346,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",650,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",308,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",757,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",548,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",232,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",408,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",378,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",696,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",377,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",524,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",250,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",484,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",370,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",305,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",251,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",609,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",307,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",560,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",322,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",378,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",229,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,655,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,199,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,427,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,322,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,414,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,366,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,409,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,236,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,163,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,180,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,375,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,235,17,031,110502,2023
