NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",750,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",457,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",812,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",766,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",593,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",387,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",732,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",477,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",448,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",797,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",353,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",758,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",730,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",725,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",288,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",647,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",548,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",675,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",805,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",710,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",248,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",645,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",675,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",618,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,761,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,644,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,247,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,629,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,724,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,497,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,842,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,685,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,270,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,617,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,761,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,486,17,031,110502,2023
