NAME,B23025_005E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",134,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",154,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",58,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",147,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",118,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",119,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",138,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",93,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",157,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",39,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",94,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",152,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",81,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",216,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",113,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",115,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",89,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",54,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",141,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",256,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",214,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",116,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",90,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",35,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,143,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,242,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,226,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,114,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,99,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,70,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,119,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,269,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,153,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,64,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,88,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,124,17,031,110502,2023
