NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",2759,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",3142,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",2071,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",3556,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",1948,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",3683,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",3682,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",2053,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",2890,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",2105,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",3554,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",2776,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",3298,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",1897,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",3297,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",2613,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",2584,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",2142,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",3238,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",1815,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",3201,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",2734,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",2483,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",2079,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,3238,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,1456,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,3500,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,2732,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,2328,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,2114,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,3284,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,1323,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,3210,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,2929,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,2234,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,2330,17,031,110502,2023
