NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",291,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",279,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",750,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",659,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",287,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",340,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",404,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",176,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",1827,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",540,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",343,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",509,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",559,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",633,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",734,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",525,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",578,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",367,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",421,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",646,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",135,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",377,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",639,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",811,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",292,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",365,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",847,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",1486,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",620,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",600,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",231,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",1553,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",657,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",363,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",609,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",343,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",493,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",650,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",681,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",862,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",316,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",387,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",853,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",1567,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",634,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",147,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",398,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",232,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",597,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",672,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",626,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",756,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",482,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",656,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",378,17,031,062500,2019
"Census Tract 631, Cook County, Illinois",375,17,031,063100,2019
"Census Tract 632, Cook County, Illinois",1473,17,031,063200,2019
"Census Tract 602, Cook County, Illinois",336,17,031,060200,2019
"Census Tract 610, Cook County, Illinois",320,17,031,061000,2019
"Census Tract 624, Cook County, Illinois",422,17,031,062400,2019
"Census Tract 605, Cook County, Illinois",153,17,031,060500,2019
"Census Tract 609, Cook County, Illinois",1815,17,031,060900,2019
"Census Tract 612, Cook County, Illinois",347,17,031,061200,2019
"Census Tract 615, Cook County, Illinois",288,17,031,061500,2019
"Census Tract 629, Cook County, Illinois",805,17,031,062900,2019
"Census Tract 630, Cook County, Illinois",667,17,031,063000,2019
"Census Tract 628, Cook County, Illinois",648,17,031,062800,2019
"Census Tract 634, Cook County, Illinois",422,17,031,063400,2019
"Census Tract 8319, Cook County, Illinois",619,17,031,831900,2020
"Census Tract 8320, Cook County, Illinois",357,17,031,832000,2020
"Census Tract 8321, Cook County, Illinois",415,17,031,832100,2020
"Census Tract 601, Cook County, Illinois",708,17,031,060100,2020
"Census Tract 602, Cook County, Illinois",384,17,031,060200,2020
"Census Tract 603, Cook County, Illinois",523,17,031,060300,2020
"Census Tract 604, Cook County, Illinois",819,17,031,060400,2020
"Census Tract 605, Cook County, Illinois",149,17,031,060500,2020
"Census Tract 608, Cook County, Illinois",1542,17,031,060800,2020
"Census Tract 609, Cook County, Illinois",2042,17,031,060900,2020
"Census Tract 610, Cook County, Illinois",300,17,031,061000,2020
"Census Tract 611, Cook County, Illinois",244,17,031,061100,2020
"Census Tract 612, Cook County, Illinois",319,17,031,061200,2020
"Census Tract 615, Cook County, Illinois",297,17,031,061500,2020
"Census Tract 618, Cook County, Illinois",136,17,031,061800,2020
"Census Tract 619.01, Cook County, Illinois",573,17,031,061901,2020
"Census Tract 619.02, Cook County, Illinois",887,17,031,061902,2020
"Census Tract 620, Cook County, Illinois",444,17,031,062000,2020
"Census Tract 621, Cook County, Illinois",612,17,031,062100,2020
"Census Tract 622, Cook County, Illinois",623,17,031,062200,2020
"Census Tract 623, Cook County, Illinois",381,17,031,062300,2020
"Census Tract 624, Cook County, Illinois",429,17,031,062400,2020
"Census Tract 625, Cook County, Illinois",404,17,031,062500,2020
"Census Tract 626, Cook County, Illinois",616,17,031,062600,2020
"Census Tract 627, Cook County, Illinois",663,17,031,062700,2020
"Census Tract 628, Cook County, Illinois",708,17,031,062800,2020
"Census Tract 629, Cook County, Illinois",800,17,031,062900,2020
"Census Tract 630, Cook County, Illinois",626,17,031,063000,2020
"Census Tract 631, Cook County, Illinois",357,17,031,063100,2020
"Census Tract 632, Cook County, Illinois",1344,17,031,063200,2020
"Census Tract 633.01, Cook County, Illinois",282,17,031,063301,2020
"Census Tract 633.02, Cook County, Illinois",668,17,031,063302,2020
"Census Tract 633.03, Cook County, Illinois",391,17,031,063303,2020
"Census Tract 634, Cook County, Illinois",348,17,031,063400,2020
"Census Tract 601, Cook County, Illinois",761,17,031,060100,2021
"Census Tract 602, Cook County, Illinois",415,17,031,060200,2021
"Census Tract 603, Cook County, Illinois",475,17,031,060300,2021
"Census Tract 604, Cook County, Illinois",791,17,031,060400,2021
"Census Tract 605, Cook County, Illinois",166,17,031,060500,2021
"Census Tract 608, Cook County, Illinois",1682,17,031,060800,2021
"Census Tract 609, Cook County, Illinois",2263,17,031,060900,2021
"Census Tract 610, Cook County, Illinois",331,17,031,061000,2021
"Census Tract 611, Cook County, Illinois",212,17,031,061100,2021
"Census Tract 612, Cook County, Illinois",369,17,031,061200,2021
"Census Tract 615, Cook County, Illinois",313,17,031,061500,2021
"Census Tract 618, Cook County, Illinois",122,17,031,061800,2021
"Census Tract 619.01, Cook County, Illinois",492,17,031,061901,2021
"Census Tract 619.02, Cook County, Illinois",1009,17,031,061902,2021
"Census Tract 620, Cook County, Illinois",421,17,031,062000,2021
"Census Tract 621, Cook County, Illinois",577,17,031,062100,2021
"Census Tract 622, Cook County, Illinois",746,17,031,062200,2021
"Census Tract 623, Cook County, Illinois",386,17,031,062300,2021
