NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",161,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",124,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",283,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",278,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",356,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",318,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",58,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",293,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",631,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",162,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",216,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",398,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",183,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",34,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",406,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",173,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",181,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",205,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",185,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",558,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",153,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",68,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",367,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",555,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",423,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",72,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",276,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",245,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",37,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",125,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",92,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",570,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",185,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",133,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",151,17,031,831900,2019
