NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",490,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",529,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",1072,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",1134,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",834,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",734,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",316,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",578,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",2853,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",806,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",479,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",1317,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",675,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",694,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",814,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",1021,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",656,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",345,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",875,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",1188,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",562,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",321,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",1555,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",2064,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",1549,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",542,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",1863,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",1577,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",352,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",489,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",371,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",2661,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",791,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",798,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",799,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",447,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",1350,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",1251,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",1553,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",1979,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",1549,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",518,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",1883,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",1621,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",346,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",559,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",320,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",390,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",500,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",632,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",681,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",870,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",1112,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",637,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",335,17,031,062500,2019
