NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",1961,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",1888,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",3818,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",3448,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",2324,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",2208,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",1576,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",1295,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",7114,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",2913,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",1781,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",3533,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",2852,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",3214,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",3779,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",2981,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",2719,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",1575,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",2310,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",3772,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",1340,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",1602,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",3597,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",4653,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",2768,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",1223,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",3781,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",5048,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",2370,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",2885,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",1379,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",6897,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",3625,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",2318,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",3228,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",1621,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",3602,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",3722,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",3492,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",4759,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",2735,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",1243,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",3967,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",5037,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",2442,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",1415,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",1595,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",1368,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",2982,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",2939,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",2936,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",3877,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",3027,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",2988,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",1556,17,031,062500,2019
"Census Tract 631, Cook County, Illinois",2238,17,031,063100,2019
"Census Tract 632, Cook County, Illinois",6745,17,031,063200,2019
"Census Tract 602, Cook County, Illinois",2248,17,031,060200,2019
"Census Tract 610, Cook County, Illinois",2202,17,031,061000,2019
"Census Tract 624, Cook County, Illinois",1571,17,031,062400,2019
"Census Tract 605, Cook County, Illinois",1197,17,031,060500,2019
"Census Tract 609, Cook County, Illinois",7292,17,031,060900,2019
