NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",1628,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",1532,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",3313,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",2462,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",1646,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",1770,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",1381,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",837,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",4846,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",2331,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",1425,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",2210,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",2204,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",2553,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",3065,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",2480,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",2178,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",1252,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",1833,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",3075,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",919,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",1324,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",2610,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",3809,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",2067,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",1043,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",2955,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",3735,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",1764,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",2611,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",1214,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",5878,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",2962,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",1893,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",2589,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",1268,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",2261,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",3005,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",2406,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",3876,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",2100,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",1057,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",3120,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",3617,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",1785,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",978,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",1302,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",1199,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",2587,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",2198,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",2236,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",3156,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",2475,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",2465,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",1175,17,031,062500,2019
"Census Tract 631, Cook County, Illinois",1823,17,031,063100,2019
"Census Tract 632, Cook County, Illinois",5660,17,031,063200,2019
"Census Tract 602, Cook County, Illinois",1572,17,031,060200,2019
"Census Tract 610, Cook County, Illinois",1750,17,031,061000,2019
"Census Tract 624, Cook County, Illinois",1346,17,031,062400,2019
"Census Tract 605, Cook County, Illinois",842,17,031,060500,2019
"Census Tract 609, Cook County, Illinois",5088,17,031,060900,2019
"Census Tract 612, Cook County, Illinois",1698,17,031,061200,2019
"Census Tract 615, Cook County, Illinois",1677,17,031,061500,2019
"Census Tract 629, Cook County, Illinois",3068,17,031,062900,2019
"Census Tract 630, Cook County, Illinois",2506,17,031,063000,2019
"Census Tract 628, Cook County, Illinois",2854,17,031,062800,2019
"Census Tract 634, Cook County, Illinois",1949,17,031,063400,2019
"Census Tract 8319, Cook County, Illinois",2666,17,031,831900,2020
"Census Tract 8320, Cook County, Illinois",1254,17,031,832000,2020
"Census Tract 8321, Cook County, Illinois",1840,17,031,832100,2020
"Census Tract 601, Cook County, Illinois",2255,17,031,060100,2020
"Census Tract 602, Cook County, Illinois",1707,17,031,060200,2020
"Census Tract 603, Cook County, Illinois",2059,17,031,060300,2020
"Census Tract 604, Cook County, Illinois",3363,17,031,060400,2020
"Census Tract 605, Cook County, Illinois",871,17,031,060500,2020
"Census Tract 608, Cook County, Illinois",3487,17,031,060800,2020
"Census Tract 609, Cook County, Illinois",5456,17,031,060900,2020
"Census Tract 610, Cook County, Illinois",1614,17,031,061000,2020
"Census Tract 611, Cook County, Illinois",1167,17,031,061100,2020
"Census Tract 612, Cook County, Illinois",1584,17,031,061200,2020
"Census Tract 615, Cook County, Illinois",1665,17,031,061500,2020
"Census Tract 618, Cook County, Illinois",942,17,031,061800,2020
"Census Tract 619.01, Cook County, Illinois",2270,17,031,061901,2020
"Census Tract 619.02, Cook County, Illinois",3530,17,031,061902,2020
"Census Tract 620, Cook County, Illinois",2476,17,031,062000,2020
"Census Tract 621, Cook County, Illinois",2981,17,031,062100,2020
"Census Tract 622, Cook County, Illinois",2592,17,031,062200,2020
"Census Tract 623, Cook County, Illinois",1254,17,031,062300,2020
"Census Tract 624, Cook County, Illinois",1289,17,031,062400,2020
"Census Tract 625, Cook County, Illinois",1205,17,031,062500,2020
"Census Tract 626, Cook County, Illinois",1830,17,031,062600,2020
"Census Tract 627, Cook County, Illinois",2472,17,031,062700,2020
"Census Tract 628, Cook County, Illinois",2964,17,031,062800,2020
"Census Tract 629, Cook County, Illinois",2920,17,031,062900,2020
"Census Tract 630, Cook County, Illinois",2565,17,031,063000,2020
"Census Tract 631, Cook County, Illinois",1951,17,031,063100,2020
"Census Tract 632, Cook County, Illinois",5082,17,031,063200,2020
"Census Tract 633.01, Cook County, Illinois",1962,17,031,063301,2020
"Census Tract 633.02, Cook County, Illinois",2926,17,031,063302,2020
"Census Tract 633.03, Cook County, Illinois",959,17,031,063303,2020
"Census Tract 634, Cook County, Illinois",2102,17,031,063400,2020
"Census Tract 601, Cook County, Illinois",2384,17,031,060100,2021
"Census Tract 602, Cook County, Illinois",1704,17,031,060200,2021
"Census Tract 603, Cook County, Illinois",2106,17,031,060300,2021
"Census Tract 604, Cook County, Illinois",3163,17,031,060400,2021
"Census Tract 605, Cook County, Illinois",867,17,031,060500,2021
"Census Tract 608, Cook County, Illinois",3584,17,031,060800,2021
"Census Tract 609, Cook County, Illinois",5673,17,031,060900,2021
"Census Tract 610, Cook County, Illinois",1544,17,031,061000,2021
"Census Tract 611, Cook County, Illinois",1106,17,031,061100,2021
"Census Tract 612, Cook County, Illinois",1603,17,031,061200,2021
"Census Tract 615, Cook County, Illinois",1636,17,031,061500,2021
"Census Tract 618, Cook County, Illinois",886,17,031,061800,2021
"Census Tract 619.01, Cook County, Illinois",2232,17,031,061901,2021
"Census Tract 619.02, Cook County, Illinois",3804,17,031,061902,2021
"Census Tract 620, Cook County, Illinois",2521,17,031,062000,2021
"Census Tract 621, Cook County, Illinois",2823,17,031,062100,2021
"Census Tract 622, Cook County, Illinois",2350,17,031,062200,2021
"Census Tract 623, Cook County, Illinois",1284,17,031,062300,2021
"Census Tract 624, Cook County, Illinois",1398,17,031,062400,2021
"Census Tract 625, Cook County, Illinois",1146,17,031,062500,2021
"Census Tract 626, Cook County, Illinois",1768,17,031,062600,2021
"Census Tract 627, Cook County, Illinois",2466,17,031,062700,2021
"Census Tract 628, Cook County, Illinois",3051,17,031,062800,2021
"Census Tract 629, Cook County, Illinois",2855,17,031,062900,2021
"Census Tract 630, Cook County, Illinois",2469,17,031,063000,2021
"Census Tract 631, Cook County, Illinois",1989,17,031,063100,2021
"Census Tract 632, Cook County, Illinois",5026,17,031,063200,2021
"Census Tract 633.01, Cook County, Illinois",2042,17,031,063301,2021
"Census Tract 633.02, Cook County, Illinois",3293,17,031,063302,2021
"Census Tract 633.03, Cook County, Illinois",949,17,031,063303,2021
"Census Tract 634, Cook County, Illinois",2135,17,031,063400,2021
"Census Tract 8319, Cook County, Illinois",2466,17,031,831900,2021
"Census Tract 8320, Cook County, Illinois",1356,17,031,832000,2021
