NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",749,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",1370,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",1499,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",975,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",2618,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",564,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",1431,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",979,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",1005,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",1239,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",1338,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",1144,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",544,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",1125,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",1380,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",1172,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",1595,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",1011,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",476,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",957,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",913,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",1541,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",1331,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",1071,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",879,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",1006,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",1302,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",1220,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",552,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",2715,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",1440,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",1182,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",1698,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",1350,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",1598,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",574,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",722,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",1078,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",466,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",813,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",871,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",1354,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",1169,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",1425,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",482,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",1532,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",1492,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",878,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",1072,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",924,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",1252,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",998,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",899,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",763,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",1016,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",1896,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",2486,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",526,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",567,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",866,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",1220,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",1489,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",379,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",1583,17,031,070200,2021
"Census Tract 703, Cook County, Illinois",1412,17,031,070300,2021
"Census Tract 704, Cook County, Illinois",996,17,031,070400,2021
"Census Tract 705, Cook County, Illinois",1073,17,031,070500,2021
"Census Tract 706, Cook County, Illinois",956,17,031,070600,2021
"Census Tract 707, Cook County, Illinois",1163,17,031,070700,2021
"Census Tract 710, Cook County, Illinois",929,17,031,071000,2021
"Census Tract 711, Cook County, Illinois",966,17,031,071100,2021
"Census Tract 712, Cook County, Illinois",799,17,031,071200,2021
"Census Tract 713, Cook County, Illinois",1084,17,031,071300,2021
"Census Tract 714, Cook County, Illinois",1693,17,031,071400,2021
"Census Tract 715, Cook County, Illinois",2625,17,031,071500,2021
"Census Tract 716, Cook County, Illinois",494,17,031,071600,2021
"Census Tract 717, Cook County, Illinois",503,17,031,071700,2021
"Census Tract 718, Cook County, Illinois",838,17,031,071800,2021
"Census Tract 8325, Cook County, Illinois",961,17,031,832500,2021
"Census Tract 8326, Cook County, Illinois",1547,17,031,832600,2021
Census Tract 701.01; Cook County; Illinois,1452,17,031,070101,2022
Census Tract 701.02; Cook County; Illinois,1050,17,031,070102,2022
Census Tract 701.03; Cook County; Illinois,391,17,031,070103,2022
