NAME,B15003_023E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",249,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",864,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",582,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",432,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",1315,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",218,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",690,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",543,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",646,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",579,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",605,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",455,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",302,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",392,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",600,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",302,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",932,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",576,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",337,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",387,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",489,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",707,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",764,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",375,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",523,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",596,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",705,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",549,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",317,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",1207,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",580,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",398,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",1005,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",709,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",529,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",211,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",218,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",564,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",349,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",371,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",385,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",737,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",586,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",674,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",400,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",559,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",656,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",558,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",505,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",596,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",586,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",408,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",399,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",260,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",1015,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",937,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",1251,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",324,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",267,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",349,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",638,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",591,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",434,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",590,17,031,070200,2021
"Census Tract 703, Cook County, Illinois",567,17,031,070300,2021
"Census Tract 704, Cook County, Illinois",662,17,031,070400,2021
"Census Tract 705, Cook County, Illinois",506,17,031,070500,2021
"Census Tract 706, Cook County, Illinois",625,17,031,070600,2021
"Census Tract 707, Cook County, Illinois",626,17,031,070700,2021
"Census Tract 710, Cook County, Illinois",403,17,031,071000,2021
"Census Tract 711, Cook County, Illinois",489,17,031,071100,2021
"Census Tract 712, Cook County, Illinois",385,17,031,071200,2021
"Census Tract 713, Cook County, Illinois",866,17,031,071300,2021
"Census Tract 714, Cook County, Illinois",1035,17,031,071400,2021
"Census Tract 715, Cook County, Illinois",1228,17,031,071500,2021
"Census Tract 716, Cook County, Illinois",351,17,031,071600,2021
"Census Tract 717, Cook County, Illinois",278,17,031,071700,2021
"Census Tract 718, Cook County, Illinois",455,17,031,071800,2021
"Census Tract 8325, Cook County, Illinois",389,17,031,832500,2021
"Census Tract 8326, Cook County, Illinois",768,17,031,832600,2021
Census Tract 701.01; Cook County; Illinois,951,17,031,070101,2022
Census Tract 701.02; Cook County; Illinois,691,17,031,070102,2022
Census Tract 701.03; Cook County; Illinois,401,17,031,070103,2022
Census Tract 702; Cook County; Illinois,596,17,031,070200,2022
Census Tract 703; Cook County; Illinois,612,17,031,070300,2022
Census Tract 704; Cook County; Illinois,584,17,031,070400,2022
Census Tract 705; Cook County; Illinois,594,17,031,070500,2022
Census Tract 706; Cook County; Illinois,606,17,031,070600,2022
Census Tract 707; Cook County; Illinois,627,17,031,070700,2022
Census Tract 710; Cook County; Illinois,451,17,031,071000,2022
Census Tract 711; Cook County; Illinois,484,17,031,071100,2022
Census Tract 712; Cook County; Illinois,424,17,031,071200,2022
Census Tract 713; Cook County; Illinois,876,17,031,071300,2022
Census Tract 714; Cook County; Illinois,918,17,031,071400,2022
Census Tract 715; Cook County; Illinois,1205,17,031,071500,2022
Census Tract 716; Cook County; Illinois,281,17,031,071600,2022
Census Tract 717; Cook County; Illinois,297,17,031,071700,2022
Census Tract 718; Cook County; Illinois,479,17,031,071800,2022
Census Tract 8325; Cook County; Illinois,486,17,031,832500,2022
Census Tract 8326; Cook County; Illinois,773,17,031,832600,2022
Census Tract 701.01; Cook County; Illinois,956,17,031,070101,2023
