NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",166,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",240,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",157,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",204,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",197,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",70,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",172,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",138,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",303,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",177,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",163,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",278,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",86,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",263,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",527,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",236,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",324,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",114,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",96,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",163,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",241,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",147,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",344,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",276,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",93,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",153,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",193,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",300,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",150,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",245,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",420,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",314,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",326,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",362,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",184,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",71,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",167,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",126,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",71,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",157,17,031,071800,2019
