NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",181,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",392,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",276,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",288,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",287,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",42,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",243,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",330,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",154,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",350,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",615,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",187,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",164,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",236,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",714,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",273,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",777,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",149,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",161,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",126,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",275,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",274,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",592,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",255,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",340,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",108,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",384,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",141,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",160,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",296,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",611,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",196,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",668,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",417,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",271,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",39,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",247,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",136,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",190,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",164,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",338,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",264,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",622,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",155,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",212,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",425,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",250,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",355,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",124,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",197,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",307,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",244,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",157,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",284,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",642,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",601,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",370,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",166,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",123,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",110,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",504,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",159,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",210,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",285,17,031,070200,2021
"Census Tract 703, Cook County, Illinois",302,17,031,070300,2021
"Census Tract 704, Cook County, Illinois",341,17,031,070400,2021
"Census Tract 705, Cook County, Illinois",92,17,031,070500,2021
"Census Tract 706, Cook County, Illinois",177,17,031,070600,2021
"Census Tract 707, Cook County, Illinois",309,17,031,070700,2021
"Census Tract 710, Cook County, Illinois",246,17,031,071000,2021
"Census Tract 711, Cook County, Illinois",105,17,031,071100,2021
"Census Tract 712, Cook County, Illinois",266,17,031,071200,2021
"Census Tract 713, Cook County, Illinois",532,17,031,071300,2021
"Census Tract 714, Cook County, Illinois",739,17,031,071400,2021
"Census Tract 715, Cook County, Illinois",426,17,031,071500,2021
"Census Tract 716, Cook County, Illinois",125,17,031,071600,2021
"Census Tract 717, Cook County, Illinois",127,17,031,071700,2021
"Census Tract 718, Cook County, Illinois",126,17,031,071800,2021
"Census Tract 8325, Cook County, Illinois",384,17,031,832500,2021
"Census Tract 8326, Cook County, Illinois",179,17,031,832600,2021
Census Tract 701.01; Cook County; Illinois,479,17,031,070101,2022
Census Tract 701.02; Cook County; Illinois,169,17,031,070102,2022
Census Tract 701.03; Cook County; Illinois,218,17,031,070103,2022
Census Tract 702; Cook County; Illinois,207,17,031,070200,2022
Census Tract 703; Cook County; Illinois,464,17,031,070300,2022
Census Tract 704; Cook County; Illinois,357,17,031,070400,2022
Census Tract 705; Cook County; Illinois,47,17,031,070500,2022
Census Tract 706; Cook County; Illinois,182,17,031,070600,2022
Census Tract 707; Cook County; Illinois,256,17,031,070700,2022
Census Tract 710; Cook County; Illinois,260,17,031,071000,2022
Census Tract 711; Cook County; Illinois,101,17,031,071100,2022
Census Tract 712; Cook County; Illinois,337,17,031,071200,2022
Census Tract 713; Cook County; Illinois,604,17,031,071300,2022
Census Tract 714; Cook County; Illinois,809,17,031,071400,2022
Census Tract 715; Cook County; Illinois,307,17,031,071500,2022
Census Tract 716; Cook County; Illinois,120,17,031,071600,2022
Census Tract 717; Cook County; Illinois,124,17,031,071700,2022
Census Tract 718; Cook County; Illinois,110,17,031,071800,2022
Census Tract 8325; Cook County; Illinois,485,17,031,832500,2022
Census Tract 8326; Cook County; Illinois,131,17,031,832600,2022
Census Tract 701.01; Cook County; Illinois,478,17,031,070101,2023
Census Tract 701.02; Cook County; Illinois,141,17,031,070102,2023
Census Tract 701.03; Cook County; Illinois,194,17,031,070103,2023
Census Tract 702; Cook County; Illinois,245,17,031,070200,2023
Census Tract 703; Cook County; Illinois,351,17,031,070300,2023
Census Tract 704; Cook County; Illinois,446,17,031,070400,2023
Census Tract 705; Cook County; Illinois,40,17,031,070500,2023
Census Tract 706; Cook County; Illinois,142,17,031,070600,2023
Census Tract 707; Cook County; Illinois,398,17,031,070700,2023
Census Tract 710; Cook County; Illinois,141,17,031,071000,2023
Census Tract 711; Cook County; Illinois,253,17,031,071100,2023
Census Tract 712; Cook County; Illinois,297,17,031,071200,2023
Census Tract 713; Cook County; Illinois,570,17,031,071300,2023
Census Tract 714; Cook County; Illinois,774,17,031,071400,2023
Census Tract 715; Cook County; Illinois,120,17,031,071500,2023
Census Tract 716; Cook County; Illinois,98,17,031,071600,2023
Census Tract 717; Cook County; Illinois,124,17,031,071700,2023
Census Tract 718; Cook County; Illinois,113,17,031,071800,2023
Census Tract 8325; Cook County; Illinois,430,17,031,832500,2023
Census Tract 8326; Cook County; Illinois,93,17,031,832600,2023
