NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",30,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",46,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",32,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",161,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",0,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",11,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",9,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",300,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",19,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",0,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",69,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",17,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",0,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",7,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",131,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",0,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",123,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",41,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",68,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",87,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",181,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",15,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",89,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",9,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",286,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",16,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",0,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",10,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",0,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",14,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",187,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",9,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",113,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",15,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",32,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",19,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",33,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",62,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",71,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",82,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",129,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",15,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",77,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",28,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",0,17,031,070103,2020
