NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",1593,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",2031,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",1532,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",1839,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",1431,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",4548,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",271,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",1289,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",1254,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",1695,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",1037,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",642,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",1654,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",2651,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",368,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",1490,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",2563,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",825,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",1582,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",1270,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",1323,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",475,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",2054,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",1490,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",4639,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",331,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",1318,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",1153,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",1728,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",1024,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",728,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",1726,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",2716,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",1336,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",1256,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",1491,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",1696,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",1763,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",2700,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",2425,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",765,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",1635,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",610,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",2591,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",1228,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",1142,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",2005,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",698,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",2564,17,031,081000,2020
