NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",127,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",1040,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",172,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",185,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",204,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",251,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",377,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",196,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",114,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",109,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",63,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",34,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",212,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",242,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",533,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",311,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",177,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",2468,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",125,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",379,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",353,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",490,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",174,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",189,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",250,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",379,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",185,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",111,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",147,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",72,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",32,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",237,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",239,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",501,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",442,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",399,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",153,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",91,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",1135,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",197,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",2500,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",168,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",443,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",153,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",121,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",89,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",49,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",2196,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",1060,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",329,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",128,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",63,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",295,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",45,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",169,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",173,17,031,081403,2020
