NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",2986,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",3401,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",2413,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",2623,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",2583,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",5981,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",310,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",1897,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",2095,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",2535,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",1555,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",1339,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",2726,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",4922,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",548,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",2244,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",3747,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",1226,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",2921,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",1526,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",1306,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",675,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",2673,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",2497,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",6100,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",371,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",1900,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",2104,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",2639,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",1573,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",1316,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",2971,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",4902,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",1718,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",1372,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",2322,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",2629,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",2860,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",3902,17,031,081000,2019
