NAME,B15003_023E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",1310,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",916,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",974,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",970,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",911,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",1594,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",102,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",725,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",733,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",751,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",532,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",435,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",1265,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",1698,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",152,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",659,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",1409,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",337,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",1131,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",304,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",548,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",235,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",892,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",1030,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",1764,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",120,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",790,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",782,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",864,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",461,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",435,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",1377,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",1763,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",373,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",617,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",905,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",1060,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",1242,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",951,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",1348,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",352,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",1131,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",259,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",1574,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",907,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",813,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",972,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",422,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",1256,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",775,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",866,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",473,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",1302,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",435,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",1251,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",1679,17,031,081403,2020
"Census Tract 815, Cook County, Illinois",929,17,031,081500,2020
"Census Tract 816, Cook County, Illinois",952,17,031,081600,2020
"Census Tract 817, Cook County, Illinois",1063,17,031,081700,2020
"Census Tract 818, Cook County, Illinois",1888,17,031,081800,2020
"Census Tract 819, Cook County, Illinois",126,17,031,081900,2020
"Census Tract 8422, Cook County, Illinois",512,17,031,842200,2020
"Census Tract 8423, Cook County, Illinois",522,17,031,842300,2020
"Census Tract 801, Cook County, Illinois",1575,17,031,080100,2021
"Census Tract 802.01, Cook County, Illinois",976,17,031,080201,2021
"Census Tract 802.02, Cook County, Illinois",823,17,031,080202,2021
"Census Tract 803, Cook County, Illinois",1017,17,031,080300,2021
"Census Tract 804, Cook County, Illinois",505,17,031,080400,2021
"Census Tract 810, Cook County, Illinois",1191,17,031,081000,2021
"Census Tract 811, Cook County, Illinois",830,17,031,081100,2021
"Census Tract 812.01, Cook County, Illinois",1017,17,031,081201,2021
"Census Tract 812.02, Cook County, Illinois",666,17,031,081202,2021
"Census Tract 813, Cook County, Illinois",1430,17,031,081300,2021
"Census Tract 814.01, Cook County, Illinois",512,17,031,081401,2021
"Census Tract 814.02, Cook County, Illinois",1131,17,031,081402,2021
"Census Tract 814.03, Cook County, Illinois",1918,17,031,081403,2021
"Census Tract 815, Cook County, Illinois",991,17,031,081500,2021
"Census Tract 816, Cook County, Illinois",982,17,031,081600,2021
"Census Tract 817, Cook County, Illinois",947,17,031,081700,2021
"Census Tract 818, Cook County, Illinois",2046,17,031,081800,2021
"Census Tract 819, Cook County, Illinois",164,17,031,081900,2021
"Census Tract 8383, Cook County, Illinois",276,17,031,838300,2021
"Census Tract 8422, Cook County, Illinois",538,17,031,842200,2021
"Census Tract 8423, Cook County, Illinois",498,17,031,842300,2021
Census Tract 801; Cook County; Illinois,1578,17,031,080100,2022
Census Tract 802.01; Cook County; Illinois,857,17,031,080201,2022
Census Tract 802.02; Cook County; Illinois,756,17,031,080202,2022
Census Tract 803; Cook County; Illinois,1114,17,031,080300,2022
Census Tract 804; Cook County; Illinois,497,17,031,080400,2022
Census Tract 810; Cook County; Illinois,1216,17,031,081000,2022
Census Tract 811; Cook County; Illinois,643,17,031,081100,2022
Census Tract 812.01; Cook County; Illinois,923,17,031,081201,2022
Census Tract 812.02; Cook County; Illinois,640,17,031,081202,2022
Census Tract 813; Cook County; Illinois,1508,17,031,081300,2022
Census Tract 814.01; Cook County; Illinois,468,17,031,081401,2022
Census Tract 814.02; Cook County; Illinois,1329,17,031,081402,2022
Census Tract 814.03; Cook County; Illinois,1962,17,031,081403,2022
Census Tract 815; Cook County; Illinois,836,17,031,081500,2022
Census Tract 816; Cook County; Illinois,910,17,031,081600,2022
Census Tract 817; Cook County; Illinois,1050,17,031,081700,2022
Census Tract 818; Cook County; Illinois,2460,17,031,081800,2022
