NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",403,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",601,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",233,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",383,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",177,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",444,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",16,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",61,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",162,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",277,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",116,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",82,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",207,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",379,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",57,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",699,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",144,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",168,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",267,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",368,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",331,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",53,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",311,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",165,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",551,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",22,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",141,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",299,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",248,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",61,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",82,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",273,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",412,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",465,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",395,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",400,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",243,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",374,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",659,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",150,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",193,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",155,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",74,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",148,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",129,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",359,17,031,080202,2020
