NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",1299,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",695,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",705,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",1568,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",940,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",3382,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",229,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",1275,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",1217,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",1309,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",1332,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",791,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",1324,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",1707,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",171,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",590,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",1926,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",575,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",2197,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",665,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",842,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",217,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",1617,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",966,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",3099,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",255,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",1245,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",1209,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",1300,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",1323,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",763,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",1447,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",1694,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",638,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",841,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",668,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",783,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",1347,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",684,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",1997,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",594,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",2276,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",211,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",2119,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",1212,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",1263,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",1406,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",773,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",592,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",687,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",1290,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",1427,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",2287,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",609,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",1336,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",1586,17,031,081403,2020
"Census Tract 815, Cook County, Illinois",1677,17,031,081500,2020
"Census Tract 816, Cook County, Illinois",829,17,031,081600,2020
"Census Tract 817, Cook County, Illinois",762,17,031,081700,2020
"Census Tract 818, Cook County, Illinois",2956,17,031,081800,2020
"Census Tract 819, Cook County, Illinois",321,17,031,081900,2020
"Census Tract 8422, Cook County, Illinois",724,17,031,842200,2020
"Census Tract 8423, Cook County, Illinois",826,17,031,842300,2020
"Census Tract 801, Cook County, Illinois",2265,17,031,080100,2021
"Census Tract 802.01, Cook County, Illinois",1276,17,031,080201,2021
"Census Tract 802.02, Cook County, Illinois",1289,17,031,080202,2021
"Census Tract 803, Cook County, Illinois",1345,17,031,080300,2021
"Census Tract 804, Cook County, Illinois",838,17,031,080400,2021
"Census Tract 810, Cook County, Illinois",707,17,031,081000,2021
"Census Tract 811, Cook County, Illinois",704,17,031,081100,2021
"Census Tract 812.01, Cook County, Illinois",1350,17,031,081201,2021
"Census Tract 812.02, Cook County, Illinois",1468,17,031,081202,2021
"Census Tract 813, Cook County, Illinois",2285,17,031,081300,2021
"Census Tract 814.01, Cook County, Illinois",734,17,031,081401,2021
"Census Tract 814.02, Cook County, Illinois",1340,17,031,081402,2021
"Census Tract 814.03, Cook County, Illinois",1399,17,031,081403,2021
"Census Tract 815, Cook County, Illinois",1788,17,031,081500,2021
"Census Tract 816, Cook County, Illinois",938,17,031,081600,2021
"Census Tract 817, Cook County, Illinois",831,17,031,081700,2021
"Census Tract 818, Cook County, Illinois",3030,17,031,081800,2021
"Census Tract 819, Cook County, Illinois",339,17,031,081900,2021
"Census Tract 8383, Cook County, Illinois",175,17,031,838300,2021
"Census Tract 8422, Cook County, Illinois",839,17,031,842200,2021
"Census Tract 8423, Cook County, Illinois",902,17,031,842300,2021
Census Tract 801; Cook County; Illinois,2326,17,031,080100,2022
Census Tract 802.01; Cook County; Illinois,1435,17,031,080201,2022
Census Tract 802.02; Cook County; Illinois,1245,17,031,080202,2022
Census Tract 803; Cook County; Illinois,1366,17,031,080300,2022
Census Tract 804; Cook County; Illinois,842,17,031,080400,2022
Census Tract 810; Cook County; Illinois,746,17,031,081000,2022
Census Tract 811; Cook County; Illinois,618,17,031,081100,2022
Census Tract 812.01; Cook County; Illinois,1230,17,031,081201,2022
Census Tract 812.02; Cook County; Illinois,1558,17,031,081202,2022
Census Tract 813; Cook County; Illinois,2314,17,031,081300,2022
Census Tract 814.01; Cook County; Illinois,659,17,031,081401,2022
Census Tract 814.02; Cook County; Illinois,1268,17,031,081402,2022
Census Tract 814.03; Cook County; Illinois,1235,17,031,081403,2022
Census Tract 815; Cook County; Illinois,1762,17,031,081500,2022
Census Tract 816; Cook County; Illinois,901,17,031,081600,2022
Census Tract 817; Cook County; Illinois,847,17,031,081700,2022
Census Tract 818; Cook County; Illinois,3158,17,031,081800,2022
Census Tract 819; Cook County; Illinois,290,17,031,081900,2022
Census Tract 8383; Cook County; Illinois,165,17,031,838300,2022
Census Tract 8422; Cook County; Illinois,849,17,031,842200,2022
Census Tract 8423; Cook County; Illinois,853,17,031,842300,2022
Census Tract 801; Cook County; Illinois,2180,17,031,080100,2023
Census Tract 802.01; Cook County; Illinois,1433,17,031,080201,2023
Census Tract 802.02; Cook County; Illinois,1194,17,031,080202,2023
Census Tract 803; Cook County; Illinois,1359,17,031,080300,2023
Census Tract 804; Cook County; Illinois,793,17,031,080400,2023
Census Tract 810; Cook County; Illinois,668,17,031,081000,2023
Census Tract 811; Cook County; Illinois,566,17,031,081100,2023
Census Tract 812.01; Cook County; Illinois,1364,17,031,081201,2023
Census Tract 812.02; Cook County; Illinois,1497,17,031,081202,2023
Census Tract 813; Cook County; Illinois,2039,17,031,081300,2023
Census Tract 814.01; Cook County; Illinois,679,17,031,081401,2023
Census Tract 814.02; Cook County; Illinois,1121,17,031,081402,2023
Census Tract 814.03; Cook County; Illinois,1634,17,031,081403,2023
Census Tract 815; Cook County; Illinois,1885,17,031,081500,2023
Census Tract 816; Cook County; Illinois,805,17,031,081600,2023
Census Tract 817; Cook County; Illinois,845,17,031,081700,2023
Census Tract 818; Cook County; Illinois,3467,17,031,081800,2023
Census Tract 819; Cook County; Illinois,333,17,031,081900,2023
Census Tract 8383; Cook County; Illinois,205,17,031,838300,2023
Census Tract 8422; Cook County; Illinois,841,17,031,842200,2023
Census Tract 8423; Cook County; Illinois,795,17,031,842300,2023
