NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",1777,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",3686,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",1828,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",1272,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",1723,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",2833,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",182,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",938,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",1021,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",1592,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",403,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",710,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",1833,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",3652,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",495,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",2168,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",2079,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",1287,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",1214,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",1258,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",602,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",559,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",1259,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",1677,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",3185,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",201,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",963,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",1072,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",1683,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",380,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",674,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",1954,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",3751,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",1437,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",652,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",2114,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",1984,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",1638,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",4067,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",1966,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",1279,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",1204,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",697,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",2020,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",955,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",1030,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",1431,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",1193,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",4290,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",2253,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",1723,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",384,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",1274,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",671,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",1837,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",4471,17,031,081403,2020
"Census Tract 815, Cook County, Illinois",1548,17,031,081500,2020
"Census Tract 816, Cook County, Illinois",1729,17,031,081600,2020
"Census Tract 817, Cook County, Illinois",2227,17,031,081700,2020
"Census Tract 818, Cook County, Illinois",3678,17,031,081800,2020
"Census Tract 819, Cook County, Illinois",230,17,031,081900,2020
"Census Tract 8422, Cook County, Illinois",1385,17,031,842200,2020
"Census Tract 8423, Cook County, Illinois",661,17,031,842300,2020
"Census Tract 801, Cook County, Illinois",1900,17,031,080100,2021
"Census Tract 802.01, Cook County, Illinois",921,17,031,080201,2021
"Census Tract 802.02, Cook County, Illinois",1218,17,031,080202,2021
"Census Tract 803, Cook County, Illinois",1546,17,031,080300,2021
"Census Tract 804, Cook County, Illinois",1192,17,031,080400,2021
"Census Tract 810, Cook County, Illinois",4202,17,031,081000,2021
"Census Tract 811, Cook County, Illinois",2220,17,031,081100,2021
"Census Tract 812.01, Cook County, Illinois",1602,17,031,081201,2021
"Census Tract 812.02, Cook County, Illinois",454,17,031,081202,2021
"Census Tract 813, Cook County, Illinois",1455,17,031,081300,2021
"Census Tract 814.01, Cook County, Illinois",712,17,031,081401,2021
"Census Tract 814.02, Cook County, Illinois",1982,17,031,081402,2021
"Census Tract 814.03, Cook County, Illinois",4750,17,031,081403,2021
"Census Tract 815, Cook County, Illinois",1506,17,031,081500,2021
"Census Tract 816, Cook County, Illinois",1523,17,031,081600,2021
"Census Tract 817, Cook County, Illinois",2375,17,031,081700,2021
"Census Tract 818, Cook County, Illinois",4007,17,031,081800,2021
"Census Tract 819, Cook County, Illinois",313,17,031,081900,2021
"Census Tract 8383, Cook County, Illinois",928,17,031,838300,2021
"Census Tract 8422, Cook County, Illinois",1448,17,031,842200,2021
"Census Tract 8423, Cook County, Illinois",689,17,031,842300,2021
Census Tract 801; Cook County; Illinois,1883,17,031,080100,2022
Census Tract 802.01; Cook County; Illinois,895,17,031,080201,2022
Census Tract 802.02; Cook County; Illinois,1404,17,031,080202,2022
Census Tract 803; Cook County; Illinois,1697,17,031,080300,2022
Census Tract 804; Cook County; Illinois,1268,17,031,080400,2022
Census Tract 810; Cook County; Illinois,4306,17,031,081000,2022
Census Tract 811; Cook County; Illinois,2381,17,031,081100,2022
Census Tract 812.01; Cook County; Illinois,1651,17,031,081201,2022
Census Tract 812.02; Cook County; Illinois,480,17,031,081202,2022
Census Tract 813; Cook County; Illinois,1469,17,031,081300,2022
Census Tract 814.01; Cook County; Illinois,793,17,031,081401,2022
Census Tract 814.02; Cook County; Illinois,2194,17,031,081402,2022
Census Tract 814.03; Cook County; Illinois,5136,17,031,081403,2022
Census Tract 815; Cook County; Illinois,1603,17,031,081500,2022
Census Tract 816; Cook County; Illinois,1620,17,031,081600,2022
Census Tract 817; Cook County; Illinois,2688,17,031,081700,2022
Census Tract 818; Cook County; Illinois,4226,17,031,081800,2022
Census Tract 819; Cook County; Illinois,345,17,031,081900,2022
Census Tract 8383; Cook County; Illinois,1249,17,031,838300,2022
Census Tract 8422; Cook County; Illinois,1502,17,031,842200,2022
Census Tract 8423; Cook County; Illinois,850,17,031,842300,2022
