NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",54,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",584,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",74,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",28,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",12,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",0,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",100,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",53,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",15,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",18,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",0,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",22,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",77,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",29,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",105,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",289,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",76,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",624,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",0,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",265,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",41,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",71,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",18,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",12,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",0,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",79,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",75,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",23,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",18,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",17,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",19,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",92,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",28,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",250,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",46,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",339,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",62,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",59,17,031,081500,2019
