NAME,B23025_005E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",55,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",126,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",144,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",87,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",101,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",221,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",11,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",116,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",97,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",95,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",46,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",39,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",89,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",58,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",32,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",86,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",232,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",232,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",153,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",43,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",115,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",36,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",47,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",38,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",104,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",0,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",109,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",44,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",86,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",51,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",37,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",104,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",148,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",43,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",161,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",113,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",106,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",60,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",92,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",215,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",207,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",179,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",20,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",115,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",86,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",38,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",0,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",150,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",61,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",130,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",64,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",37,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",123,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",22,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",177,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",189,17,031,081403,2020
"Census Tract 815, Cook County, Illinois",31,17,031,081500,2020
"Census Tract 816, Cook County, Illinois",112,17,031,081600,2020
"Census Tract 817, Cook County, Illinois",127,17,031,081700,2020
"Census Tract 818, Cook County, Illinois",141,17,031,081800,2020
"Census Tract 819, Cook County, Illinois",0,17,031,081900,2020
"Census Tract 8422, Cook County, Illinois",101,17,031,842200,2020
"Census Tract 8423, Cook County, Illinois",188,17,031,842300,2020
"Census Tract 801, Cook County, Illinois",186,17,031,080100,2021
"Census Tract 802.01, Cook County, Illinois",144,17,031,080201,2021
"Census Tract 802.02, Cook County, Illinois",47,17,031,080202,2021
"Census Tract 803, Cook County, Illinois",64,17,031,080300,2021
"Census Tract 804, Cook County, Illinois",158,17,031,080400,2021
"Census Tract 810, Cook County, Illinois",102,17,031,081000,2021
