NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",2998,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",4741,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",2672,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",3644,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",2765,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",8089,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",445,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",2526,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",2874,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",3483,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",2469,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",1748,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",3417,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",5437,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",500,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",2605,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",5893,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",1297,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",4149,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",2150,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",2333,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",783,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",3882,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",2869,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",7856,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",586,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",2535,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",2782,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",3635,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",2497,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",1803,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",3553,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",5665,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",2164,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",2060,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",2886,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",2863,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",2979,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",5130,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",5461,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",1300,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",4187,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",936,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",5665,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",2580,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",2739,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",3792,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",1248,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",5107,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",3063,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",3680,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",2705,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",4338,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",1625,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",3400,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",5204,17,031,081403,2020
"Census Tract 815, Cook County, Illinois",2880,17,031,081500,2020
"Census Tract 816, Cook County, Illinois",2964,17,031,081600,2020
"Census Tract 817, Cook County, Illinois",3219,17,031,081700,2020
"Census Tract 818, Cook County, Illinois",7865,17,031,081800,2020
"Census Tract 819, Cook County, Illinois",697,17,031,081900,2020
"Census Tract 8422, Cook County, Illinois",2192,17,031,842200,2020
"Census Tract 8423, Cook County, Illinois",2131,17,031,842300,2020
"Census Tract 801, Cook County, Illinois",5828,17,031,080100,2021
"Census Tract 802.01, Cook County, Illinois",2714,17,031,080201,2021
"Census Tract 802.02, Cook County, Illinois",3120,17,031,080202,2021
"Census Tract 803, Cook County, Illinois",3962,17,031,080300,2021
"Census Tract 804, Cook County, Illinois",1501,17,031,080400,2021
"Census Tract 810, Cook County, Illinois",5604,17,031,081000,2021
"Census Tract 811, Cook County, Illinois",3293,17,031,081100,2021
"Census Tract 812.01, Cook County, Illinois",3698,17,031,081201,2021
"Census Tract 812.02, Cook County, Illinois",2726,17,031,081202,2021
"Census Tract 813, Cook County, Illinois",4395,17,031,081300,2021
"Census Tract 814.01, Cook County, Illinois",1653,17,031,081401,2021
"Census Tract 814.02, Cook County, Illinois",3224,17,031,081402,2021
"Census Tract 814.03, Cook County, Illinois",5272,17,031,081403,2021
"Census Tract 815, Cook County, Illinois",2724,17,031,081500,2021
"Census Tract 816, Cook County, Illinois",2766,17,031,081600,2021
"Census Tract 817, Cook County, Illinois",3194,17,031,081700,2021
"Census Tract 818, Cook County, Illinois",8316,17,031,081800,2021
"Census Tract 819, Cook County, Illinois",766,17,031,081900,2021
"Census Tract 8383, Cook County, Illinois",1134,17,031,838300,2021
"Census Tract 8422, Cook County, Illinois",2464,17,031,842200,2021
"Census Tract 8423, Cook County, Illinois",2453,17,031,842300,2021
Census Tract 801; Cook County; Illinois,5601,17,031,080100,2022
Census Tract 802.01; Cook County; Illinois,2879,17,031,080201,2022
Census Tract 802.02; Cook County; Illinois,3181,17,031,080202,2022
Census Tract 803; Cook County; Illinois,4058,17,031,080300,2022
Census Tract 804; Cook County; Illinois,1531,17,031,080400,2022
Census Tract 810; Cook County; Illinois,5316,17,031,081000,2022
Census Tract 811; Cook County; Illinois,3317,17,031,081100,2022
Census Tract 812.01; Cook County; Illinois,3572,17,031,081201,2022
Census Tract 812.02; Cook County; Illinois,2876,17,031,081202,2022
Census Tract 813; Cook County; Illinois,4196,17,031,081300,2022
Census Tract 814.01; Cook County; Illinois,1416,17,031,081401,2022
Census Tract 814.02; Cook County; Illinois,3051,17,031,081402,2022
Census Tract 814.03; Cook County; Illinois,4937,17,031,081403,2022
Census Tract 815; Cook County; Illinois,2711,17,031,081500,2022
Census Tract 816; Cook County; Illinois,2874,17,031,081600,2022
Census Tract 817; Cook County; Illinois,3465,17,031,081700,2022
