NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",68157,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",76545,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",64225,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",76017,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",69320,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",61967,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",67500,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",71190,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",56917,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",62734,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",55125,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",59917,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",64875,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",54737,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",67623,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",77877,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",63125,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",87708,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",75956,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",63813,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",67957,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",75545,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",59919,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",65417,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",62483,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",64063,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",76885,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",62130,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",69881,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",76345,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",71250,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",85568,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",100431,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",66234,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",83049,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",75969,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",69155,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",76563,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",69450,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",66118,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",79038,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",41786,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",77538,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",77384,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",69925,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",88320,17,031,150402,2021
