NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",1625,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",1640,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",1040,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",873,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",1021,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",961,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",969,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",895,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",882,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",478,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",738,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",824,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",896,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",409,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",1615,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",1672,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",1060,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",887,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",1011,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",984,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",1031,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",1010,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",976,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",477,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",763,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",846,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",914,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",376,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",1581,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",1627,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",990,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",841,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",1122,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",1032,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",934,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",854,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",1025,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",509,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",660,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",872,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",973,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",406,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",1620,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",1640,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",1060,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",830,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",1159,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",1034,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",1016,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",910,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",1144,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",518,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",711,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",1013,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",1063,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",415,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,1525,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,1655,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,1062,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,829,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,1172,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,1065,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,1000,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,1023,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,1123,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,532,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,695,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,990,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,1065,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,476,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,1620,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,1880,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,1088,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,816,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,1154,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,1033,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,940,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,1012,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,1233,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,505,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,730,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,935,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,1076,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,523,17,031,831700,2023
