NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",1276,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",1287,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",798,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",390,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",396,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",537,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",425,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",577,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",795,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",425,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",829,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",951,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",321,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",355,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",1289,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",1218,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",752,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",411,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",396,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",498,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",394,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",419,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",677,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",434,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",768,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",911,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",296,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",396,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",1323,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",1381,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",683,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",379,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",356,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",488,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",501,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",486,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",612,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",379,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",867,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",909,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",299,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",480,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",1171,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",1412,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",735,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",508,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",327,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",543,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",442,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",481,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",521,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",381,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",878,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",836,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",234,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",502,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,1159,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,1422,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,762,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,519,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,324,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,471,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,432,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,359,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,495,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,354,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,877,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,865,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,269,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,475,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,1209,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,1326,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,706,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,539,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,369,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,492,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,474,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,411,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,476,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,382,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,918,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,915,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,227,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,458,17,031,831700,2023
