NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",304,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",188,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",285,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",162,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",86,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",206,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",126,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",128,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",278,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",148,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",206,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",277,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",82,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",170,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",285,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",127,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",235,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",111,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",84,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",183,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",73,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",122,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",223,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",166,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",197,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",255,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",69,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",192,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",244,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",174,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",205,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",94,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",57,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",84,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",88,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",108,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",187,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",131,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",141,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",207,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",74,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",279,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",189,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",217,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",263,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",151,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",78,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",88,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",98,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",99,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",134,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",149,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",142,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",215,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",93,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",262,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,262,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,353,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,246,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,225,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,83,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,103,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,110,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,85,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,161,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,166,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,148,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,226,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,123,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,242,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,318,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,286,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,273,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,218,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,92,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,178,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,148,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,87,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,201,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,164,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,219,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,232,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,169,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,223,17,031,831700,2023
