NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",7747,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",7859,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",5228,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",3599,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",3957,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",4378,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",4246,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",4197,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",4967,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",2714,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",4770,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",5325,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",3474,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",2500,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",7753,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",7862,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",4909,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",3817,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",3903,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",4339,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",4063,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",4040,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",4814,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",2803,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",4892,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",5335,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",3616,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",2459,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",7856,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",7479,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",4700,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",3540,17,031,150402,2020
