NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",4527,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",4502,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",3141,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",2511,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",2549,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",2580,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",1942,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",1916,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",1975,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",794,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",1158,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",1942,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",1646,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",651,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",4202,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",4325,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",2932,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",2281,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",2337,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",2551,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",1909,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",1775,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",2043,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",776,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",1183,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",1622,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",1567,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",789,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",4364,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",4597,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",2722,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",2072,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",2116,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",2256,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",1914,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",1689,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",1835,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",711,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",1194,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",1754,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",1819,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",999,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",4266,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",4741,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",2771,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",2004,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",2209,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",2209,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",2031,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",1827,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",1780,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",690,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",1176,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",1824,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",1929,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",986,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,3904,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,4718,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,2981,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,1826,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,2209,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,1967,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,1996,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,2009,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,1669,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,651,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,1192,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,1882,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,1980,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,978,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,4029,17,031,150200,2023
