NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",264,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",354,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",418,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",378,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",208,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",230,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",300,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",651,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",351,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",486,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",396,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",366,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",525,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",674,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",420,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",245,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",164,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",107,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",271,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",314,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",395,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",366,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",268,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",215,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",273,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",620,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",400,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",499,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",385,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",308,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",562,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",721,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",420,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",292,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",118,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",99,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",368,17,031,300500,2020
