NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",599,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",758,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",1534,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",1708,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",1628,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",767,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",1404,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",1567,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",1387,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",885,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",839,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",848,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",1420,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",1543,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",1274,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",1204,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",719,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",356,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",495,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",769,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",1216,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",1827,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",1237,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",562,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",1304,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",1399,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",1308,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",779,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",723,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",900,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",804,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",904,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",946,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",1204,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",779,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",384,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",260,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",651,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",740,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",2146,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",1060,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",256,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",1204,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",1406,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",670,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",571,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",822,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",506,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",475,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",765,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",694,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",1208,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",666,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",366,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",473,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",573,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",606,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",2383,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",1206,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",235,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",1432,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",1115,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",505,17,031,301701,2021
"Census Tract 3017.02, Cook County, Illinois",725,17,031,301702,2021
"Census Tract 3018.01, Cook County, Illinois",1084,17,031,301801,2021
"Census Tract 3018.02, Cook County, Illinois",470,17,031,301802,2021
"Census Tract 3018.03, Cook County, Illinois",235,17,031,301803,2021
"Census Tract 8305, Cook County, Illinois",592,17,031,830500,2021
"Census Tract 8407, Cook County, Illinois",712,17,031,840700,2021
"Census Tract 8408, Cook County, Illinois",1083,17,031,840800,2021
"Census Tract 8417, Cook County, Illinois",427,17,031,841700,2021
"Census Tract 8435, Cook County, Illinois",294,17,031,843500,2021
Census Tract 3005; Cook County; Illinois,774,17,031,300500,2022
Census Tract 3006; Cook County; Illinois,671,17,031,300600,2022
Census Tract 3007; Cook County; Illinois,459,17,031,300700,2022
Census Tract 3008; Cook County; Illinois,2004,17,031,300800,2022
Census Tract 3009; Cook County; Illinois,1555,17,031,300900,2022
Census Tract 3011; Cook County; Illinois,340,17,031,301100,2022
Census Tract 3012; Cook County; Illinois,1283,17,031,301200,2022
Census Tract 3016; Cook County; Illinois,681,17,031,301600,2022
Census Tract 3017.01; Cook County; Illinois,804,17,031,301701,2022
Census Tract 3017.02; Cook County; Illinois,661,17,031,301702,2022
Census Tract 3018.01; Cook County; Illinois,1353,17,031,301801,2022
Census Tract 3018.02; Cook County; Illinois,392,17,031,301802,2022
Census Tract 3018.03; Cook County; Illinois,443,17,031,301803,2022
Census Tract 8305; Cook County; Illinois,376,17,031,830500,2022
Census Tract 8407; Cook County; Illinois,252,17,031,840700,2022
Census Tract 8408; Cook County; Illinois,1011,17,031,840800,2022
Census Tract 8417; Cook County; Illinois,314,17,031,841700,2022
Census Tract 8435; Cook County; Illinois,258,17,031,843500,2022
Census Tract 3005; Cook County; Illinois,785,17,031,300500,2023
Census Tract 3006; Cook County; Illinois,527,17,031,300600,2023
Census Tract 3007; Cook County; Illinois,506,17,031,300700,2023
Census Tract 3008; Cook County; Illinois,1910,17,031,300800,2023
Census Tract 3009; Cook County; Illinois,1474,17,031,300900,2023
Census Tract 3011; Cook County; Illinois,342,17,031,301100,2023
Census Tract 3012; Cook County; Illinois,1208,17,031,301200,2023
Census Tract 3016; Cook County; Illinois,1003,17,031,301600,2023
Census Tract 3017.01; Cook County; Illinois,624,17,031,301701,2023
Census Tract 3017.02; Cook County; Illinois,624,17,031,301702,2023
Census Tract 3018.01; Cook County; Illinois,1035,17,031,301801,2023
Census Tract 3018.02; Cook County; Illinois,649,17,031,301802,2023
Census Tract 3018.03; Cook County; Illinois,423,17,031,301803,2023
Census Tract 8305; Cook County; Illinois,391,17,031,830500,2023
Census Tract 8407; Cook County; Illinois,139,17,031,840700,2023
Census Tract 8408; Cook County; Illinois,764,17,031,840800,2023
Census Tract 8417; Cook County; Illinois,301,17,031,841700,2023
Census Tract 8435; Cook County; Illinois,108,17,031,843500,2023
