NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",610,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",421,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",875,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",725,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",1070,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",539,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",841,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",644,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",705,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",603,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",656,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",500,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",823,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",429,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",662,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",574,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",544,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",188,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",579,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",463,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",931,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",777,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",1000,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",569,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",902,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",682,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",705,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",571,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",715,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",577,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",788,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",365,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",665,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",546,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",531,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",186,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",433,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",556,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",984,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",762,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",766,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",522,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",1076,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",695,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",674,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",771,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",901,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",463,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",763,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",285,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",559,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",461,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",493,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",152,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",525,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",596,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",1040,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",850,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",793,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",505,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",1065,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",652,17,031,301600,2021
