NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",197,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",211,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",391,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",553,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",445,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",272,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",512,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",485,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",414,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",264,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",351,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",269,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",459,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",268,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",272,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",312,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",322,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",73,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",185,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",206,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",322,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",445,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",380,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",251,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",461,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",421,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",345,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",245,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",267,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",251,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",433,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",149,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",207,17,031,840700,2019
