NAME,B23025_005E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",89,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",160,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",178,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",164,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",90,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",93,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",173,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",211,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",203,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",191,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",124,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",221,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",194,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",191,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",179,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",58,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",164,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",8,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",98,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",137,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",242,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",143,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",69,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",82,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",167,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",199,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",128,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",179,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",128,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",212,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",175,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",166,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",67,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",101,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",74,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",24,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",86,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",119,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",198,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",119,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",71,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",22,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",278,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",290,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",142,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",193,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",184,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",104,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",181,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",91,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",76,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",135,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",61,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",41,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",136,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",146,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",281,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",93,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",46,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",42,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",380,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",266,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",150,17,031,301701,2021
"Census Tract 3017.02, Cook County, Illinois",208,17,031,301702,2021
"Census Tract 3018.01, Cook County, Illinois",191,17,031,301801,2021
"Census Tract 3018.02, Cook County, Illinois",141,17,031,301802,2021
"Census Tract 3018.03, Cook County, Illinois",194,17,031,301803,2021
"Census Tract 8305, Cook County, Illinois",129,17,031,830500,2021
"Census Tract 8407, Cook County, Illinois",124,17,031,840700,2021
"Census Tract 8408, Cook County, Illinois",166,17,031,840800,2021
"Census Tract 8417, Cook County, Illinois",55,17,031,841700,2021
"Census Tract 8435, Cook County, Illinois",44,17,031,843500,2021
Census Tract 3005; Cook County; Illinois,120,17,031,300500,2022
Census Tract 3006; Cook County; Illinois,145,17,031,300600,2022
Census Tract 3007; Cook County; Illinois,311,17,031,300700,2022
Census Tract 3008; Cook County; Illinois,80,17,031,300800,2022
Census Tract 3009; Cook County; Illinois,58,17,031,300900,2022
Census Tract 3011; Cook County; Illinois,55,17,031,301100,2022
Census Tract 3012; Cook County; Illinois,422,17,031,301200,2022
Census Tract 3016; Cook County; Illinois,277,17,031,301600,2022
Census Tract 3017.01; Cook County; Illinois,136,17,031,301701,2022
Census Tract 3017.02; Cook County; Illinois,175,17,031,301702,2022
Census Tract 3018.01; Cook County; Illinois,184,17,031,301801,2022
Census Tract 3018.02; Cook County; Illinois,71,17,031,301802,2022
Census Tract 3018.03; Cook County; Illinois,184,17,031,301803,2022
Census Tract 8305; Cook County; Illinois,145,17,031,830500,2022
Census Tract 8407; Cook County; Illinois,124,17,031,840700,2022
Census Tract 8408; Cook County; Illinois,141,17,031,840800,2022
Census Tract 8417; Cook County; Illinois,64,17,031,841700,2022
Census Tract 8435; Cook County; Illinois,36,17,031,843500,2022
Census Tract 3005; Cook County; Illinois,136,17,031,300500,2023
Census Tract 3006; Cook County; Illinois,105,17,031,300600,2023
Census Tract 3007; Cook County; Illinois,283,17,031,300700,2023
Census Tract 3008; Cook County; Illinois,84,17,031,300800,2023
Census Tract 3009; Cook County; Illinois,25,17,031,300900,2023
Census Tract 3011; Cook County; Illinois,92,17,031,301100,2023
Census Tract 3012; Cook County; Illinois,360,17,031,301200,2023
Census Tract 3016; Cook County; Illinois,214,17,031,301600,2023
Census Tract 3017.01; Cook County; Illinois,38,17,031,301701,2023
Census Tract 3017.02; Cook County; Illinois,61,17,031,301702,2023
Census Tract 3018.01; Cook County; Illinois,227,17,031,301801,2023
Census Tract 3018.02; Cook County; Illinois,125,17,031,301802,2023
Census Tract 3018.03; Cook County; Illinois,163,17,031,301803,2023
Census Tract 8305; Cook County; Illinois,183,17,031,830500,2023
Census Tract 8407; Cook County; Illinois,155,17,031,840700,2023
Census Tract 8408; Cook County; Illinois,124,17,031,840800,2023
Census Tract 8417; Cook County; Illinois,0,17,031,841700,2023
Census Tract 8435; Cook County; Illinois,23,17,031,843500,2023
