NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",46,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",263,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",64,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",40,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",240,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",101,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",128,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",120,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",121,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",116,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",216,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",54,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",151,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",66,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",323,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",14,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",93,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",902,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",43,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",285,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",83,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",51,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",232,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",116,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",165,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",87,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",41,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",95,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",175,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",68,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",156,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",34,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",345,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",16,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",66,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",1054,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",139,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",89,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",63,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",56,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",254,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",249,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",276,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",61,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",401,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",119,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",48,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",59,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",123,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",43,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",617,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",54,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",101,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",1132,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",161,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",96,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",59,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",59,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",310,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",286,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",292,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",119,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",408,17,031,301701,2021
"Census Tract 3017.02, Cook County, Illinois",224,17,031,301702,2021
"Census Tract 3018.01, Cook County, Illinois",88,17,031,301801,2021
"Census Tract 3018.02, Cook County, Illinois",85,17,031,301802,2021
"Census Tract 3018.03, Cook County, Illinois",19,17,031,301803,2021
"Census Tract 8305, Cook County, Illinois",68,17,031,830500,2021
"Census Tract 8407, Cook County, Illinois",565,17,031,840700,2021
"Census Tract 8408, Cook County, Illinois",38,17,031,840800,2021
"Census Tract 8417, Cook County, Illinois",114,17,031,841700,2021
"Census Tract 8435, Cook County, Illinois",1079,17,031,843500,2021
Census Tract 3005; Cook County; Illinois,148,17,031,300500,2022
Census Tract 3006; Cook County; Illinois,115,17,031,300600,2022
Census Tract 3007; Cook County; Illinois,21,17,031,300700,2022
Census Tract 3008; Cook County; Illinois,57,17,031,300800,2022
Census Tract 3009; Cook County; Illinois,119,17,031,300900,2022
Census Tract 3011; Cook County; Illinois,304,17,031,301100,2022
Census Tract 3012; Cook County; Illinois,335,17,031,301200,2022
Census Tract 3016; Cook County; Illinois,121,17,031,301600,2022
Census Tract 3017.01; Cook County; Illinois,409,17,031,301701,2022
Census Tract 3017.02; Cook County; Illinois,75,17,031,301702,2022
Census Tract 3018.01; Cook County; Illinois,74,17,031,301801,2022
Census Tract 3018.02; Cook County; Illinois,78,17,031,301802,2022
Census Tract 3018.03; Cook County; Illinois,37,17,031,301803,2022
Census Tract 8305; Cook County; Illinois,20,17,031,830500,2022
Census Tract 8407; Cook County; Illinois,653,17,031,840700,2022
Census Tract 8408; Cook County; Illinois,37,17,031,840800,2022
Census Tract 8417; Cook County; Illinois,117,17,031,841700,2022
Census Tract 8435; Cook County; Illinois,1037,17,031,843500,2022
Census Tract 3005; Cook County; Illinois,229,17,031,300500,2023
