NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",798,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",823,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",822,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",1326,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",746,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",985,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",890,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",1239,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",1293,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",1010,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",926,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",1805,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",1316,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",1772,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",1903,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",1142,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",1028,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",3942,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",1562,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",735,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",854,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",836,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",1302,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",649,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",827,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",842,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",984,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",1088,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",725,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",992,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",1865,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",1057,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",1867,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",1521,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",1243,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",953,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",3371,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",1386,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",712,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",923,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",947,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",1440,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",723,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",774,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",667,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",989,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",1159,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",572,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",1006,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",1645,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",783,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",2066,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",1592,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",1195,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",759,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",3487,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",1294,17,031,834900,2020
"Census Tract 6701, Cook County, Illinois",947,17,031,670100,2021
"Census Tract 6702, Cook County, Illinois",729,17,031,670200,2021
"Census Tract 6703, Cook County, Illinois",1028,17,031,670300,2021
"Census Tract 6704, Cook County, Illinois",1332,17,031,670400,2021
"Census Tract 6705, Cook County, Illinois",715,17,031,670500,2021
"Census Tract 6706, Cook County, Illinois",789,17,031,670600,2021
"Census Tract 6707, Cook County, Illinois",744,17,031,670700,2021
"Census Tract 6708, Cook County, Illinois",1055,17,031,670800,2021
"Census Tract 6709, Cook County, Illinois",1142,17,031,670900,2021
"Census Tract 6711, Cook County, Illinois",990,17,031,671100,2021
"Census Tract 6712, Cook County, Illinois",802,17,031,671200,2021
"Census Tract 6713, Cook County, Illinois",1503,17,031,671300,2021
"Census Tract 6714, Cook County, Illinois",739,17,031,671400,2021
"Census Tract 6715, Cook County, Illinois",2095,17,031,671500,2021
"Census Tract 6716, Cook County, Illinois",1541,17,031,671600,2021
"Census Tract 6718, Cook County, Illinois",1139,17,031,671800,2021
"Census Tract 6719, Cook County, Illinois",840,17,031,671900,2021
"Census Tract 6720, Cook County, Illinois",3041,17,031,672000,2021
"Census Tract 8349, Cook County, Illinois",962,17,031,834900,2021
Census Tract 6701; Cook County; Illinois,949,17,031,670100,2022
Census Tract 6702; Cook County; Illinois,715,17,031,670200,2022
Census Tract 6703; Cook County; Illinois,1001,17,031,670300,2022
Census Tract 6704; Cook County; Illinois,1205,17,031,670400,2022
Census Tract 6705; Cook County; Illinois,793,17,031,670500,2022
Census Tract 6706; Cook County; Illinois,769,17,031,670600,2022
Census Tract 6707; Cook County; Illinois,610,17,031,670700,2022
Census Tract 6708; Cook County; Illinois,988,17,031,670800,2022
Census Tract 6709; Cook County; Illinois,867,17,031,670900,2022
Census Tract 6711; Cook County; Illinois,915,17,031,671100,2022
Census Tract 6712; Cook County; Illinois,649,17,031,671200,2022
Census Tract 6713; Cook County; Illinois,1443,17,031,671300,2022
Census Tract 6714; Cook County; Illinois,772,17,031,671400,2022
Census Tract 6715; Cook County; Illinois,2013,17,031,671500,2022
Census Tract 6716; Cook County; Illinois,1591,17,031,671600,2022
Census Tract 6718; Cook County; Illinois,957,17,031,671800,2022
Census Tract 6719; Cook County; Illinois,678,17,031,671900,2022
Census Tract 6720; Cook County; Illinois,2719,17,031,672000,2022
Census Tract 8349; Cook County; Illinois,874,17,031,834900,2022
Census Tract 6701; Cook County; Illinois,861,17,031,670100,2023
Census Tract 6702; Cook County; Illinois,1244,17,031,670200,2023
Census Tract 6703; Cook County; Illinois,1112,17,031,670300,2023
