NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",215,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",145,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",269,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",278,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",206,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",180,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",260,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",229,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",312,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",166,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",130,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",297,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",225,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",383,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",379,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",180,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",179,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",707,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",210,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",224,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",211,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",303,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",353,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",192,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",174,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",308,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",236,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",282,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",150,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",150,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",420,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",202,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",435,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",409,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",203,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",177,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",734,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",265,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",194,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",186,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",342,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",402,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",232,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",169,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",290,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",242,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",321,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",163,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",126,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",466,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",350,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",543,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",481,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",249,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",213,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",756,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",347,17,031,834900,2020
"Census Tract 6701, Cook County, Illinois",270,17,031,670100,2021
"Census Tract 6702, Cook County, Illinois",162,17,031,670200,2021
"Census Tract 6703, Cook County, Illinois",365,17,031,670300,2021
"Census Tract 6704, Cook County, Illinois",451,17,031,670400,2021
"Census Tract 6705, Cook County, Illinois",206,17,031,670500,2021
"Census Tract 6706, Cook County, Illinois",224,17,031,670600,2021
"Census Tract 6707, Cook County, Illinois",271,17,031,670700,2021
"Census Tract 6708, Cook County, Illinois",263,17,031,670800,2021
"Census Tract 6709, Cook County, Illinois",318,17,031,670900,2021
"Census Tract 6711, Cook County, Illinois",213,17,031,671100,2021
"Census Tract 6712, Cook County, Illinois",171,17,031,671200,2021
"Census Tract 6713, Cook County, Illinois",489,17,031,671300,2021
"Census Tract 6714, Cook County, Illinois",358,17,031,671400,2021
"Census Tract 6715, Cook County, Illinois",624,17,031,671500,2021
"Census Tract 6716, Cook County, Illinois",513,17,031,671600,2021
"Census Tract 6718, Cook County, Illinois",271,17,031,671800,2021
"Census Tract 6719, Cook County, Illinois",242,17,031,671900,2021
"Census Tract 6720, Cook County, Illinois",841,17,031,672000,2021
"Census Tract 8349, Cook County, Illinois",334,17,031,834900,2021
Census Tract 6701; Cook County; Illinois,307,17,031,670100,2022
Census Tract 6702; Cook County; Illinois,203,17,031,670200,2022
Census Tract 6703; Cook County; Illinois,357,17,031,670300,2022
Census Tract 6704; Cook County; Illinois,506,17,031,670400,2022
Census Tract 6705; Cook County; Illinois,218,17,031,670500,2022
Census Tract 6706; Cook County; Illinois,254,17,031,670600,2022
Census Tract 6707; Cook County; Illinois,293,17,031,670700,2022
Census Tract 6708; Cook County; Illinois,297,17,031,670800,2022
Census Tract 6709; Cook County; Illinois,351,17,031,670900,2022
Census Tract 6711; Cook County; Illinois,209,17,031,671100,2022
Census Tract 6712; Cook County; Illinois,182,17,031,671200,2022
Census Tract 6713; Cook County; Illinois,569,17,031,671300,2022
Census Tract 6714; Cook County; Illinois,400,17,031,671400,2022
Census Tract 6715; Cook County; Illinois,667,17,031,671500,2022
Census Tract 6716; Cook County; Illinois,516,17,031,671600,2022
Census Tract 6718; Cook County; Illinois,269,17,031,671800,2022
Census Tract 6719; Cook County; Illinois,312,17,031,671900,2022
Census Tract 6720; Cook County; Illinois,865,17,031,672000,2022
Census Tract 8349; Cook County; Illinois,385,17,031,834900,2022
Census Tract 6701; Cook County; Illinois,344,17,031,670100,2023
Census Tract 6702; Cook County; Illinois,433,17,031,670200,2023
Census Tract 6703; Cook County; Illinois,390,17,031,670300,2023
Census Tract 6704; Cook County; Illinois,514,17,031,670400,2023
Census Tract 6705; Cook County; Illinois,261,17,031,670500,2023
Census Tract 6706; Cook County; Illinois,318,17,031,670600,2023
Census Tract 6707; Cook County; Illinois,272,17,031,670700,2023
Census Tract 6708; Cook County; Illinois,303,17,031,670800,2023
Census Tract 6709; Cook County; Illinois,363,17,031,670900,2023
Census Tract 6711; Cook County; Illinois,230,17,031,671100,2023
Census Tract 6712; Cook County; Illinois,167,17,031,671200,2023
Census Tract 6713; Cook County; Illinois,650,17,031,671300,2023
Census Tract 6714; Cook County; Illinois,460,17,031,671400,2023
Census Tract 6715; Cook County; Illinois,705,17,031,671500,2023
Census Tract 6716; Cook County; Illinois,509,17,031,671600,2023
Census Tract 6718; Cook County; Illinois,347,17,031,671800,2023
Census Tract 6719; Cook County; Illinois,360,17,031,671900,2023
Census Tract 6720; Cook County; Illinois,902,17,031,672000,2023
Census Tract 8349; Cook County; Illinois,384,17,031,834900,2023
