NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",110,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",24,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",253,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",325,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",278,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",56,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",181,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",24,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",75,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",2,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",0,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",99,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",78,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",437,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",39,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",68,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",110,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",27,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",4,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",250,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",33,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",155,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",387,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",256,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",144,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",270,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",31,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",85,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",7,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",0,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",147,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",90,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",296,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",0,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",119,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",142,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",54,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",2,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",235,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",7,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",163,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",253,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",210,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",193,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",460,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",23,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",76,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",7,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",0,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",100,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",161,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",272,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",0,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",31,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",303,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",13,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",1,17,031,834900,2020
