NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",255,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",454,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",446,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",570,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",267,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",332,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",362,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",423,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",466,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",485,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",401,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",466,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",596,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",719,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",522,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",440,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",211,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",866,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",813,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",332,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",459,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",277,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",434,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",251,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",334,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",530,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",296,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",494,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",314,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",314,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",540,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",345,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",663,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",566,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",550,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",189,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",894,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",794,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",427,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",421,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",331,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",443,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",247,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",414,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",463,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",235,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",476,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",294,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",209,17,031,671200,2020
