NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",175,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",161,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",132,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",304,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",164,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",158,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",150,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",221,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",221,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",139,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",169,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",318,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",196,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",422,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",329,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",168,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",76,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",418,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",369,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",219,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",160,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",141,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",275,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",149,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",165,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",154,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",235,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",270,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",127,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",133,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",364,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",156,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",402,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",326,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",155,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",74,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",424,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",403,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",236,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",157,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",169,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",244,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",123,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",174,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",114,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",238,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",279,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",138,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",97,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",327,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",143,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",375,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",351,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",174,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",59,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",421,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",489,17,031,834900,2020
"Census Tract 6701, Cook County, Illinois",261,17,031,670100,2021
"Census Tract 6702, Cook County, Illinois",124,17,031,670200,2021
"Census Tract 6703, Cook County, Illinois",251,17,031,670300,2021
"Census Tract 6704, Cook County, Illinois",216,17,031,670400,2021
"Census Tract 6705, Cook County, Illinois",133,17,031,670500,2021
"Census Tract 6706, Cook County, Illinois",219,17,031,670600,2021
"Census Tract 6707, Cook County, Illinois",138,17,031,670700,2021
"Census Tract 6708, Cook County, Illinois",250,17,031,670800,2021
"Census Tract 6709, Cook County, Illinois",227,17,031,670900,2021
"Census Tract 6711, Cook County, Illinois",299,17,031,671100,2021
