NAME,B23025_005E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",125,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",110,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",122,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",232,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",126,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",168,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",84,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",80,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",160,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",73,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",103,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",243,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",285,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",236,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",342,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",148,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",88,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",617,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",138,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",158,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",95,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",58,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",158,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",103,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",112,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",101,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",79,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",140,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",34,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",193,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",260,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",98,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",272,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",246,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",146,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",50,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",466,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",156,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",120,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",118,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",98,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",137,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",101,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",96,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",94,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",76,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",106,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",37,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",92,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",209,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",64,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",281,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",320,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",110,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",24,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",399,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",114,17,031,834900,2020
"Census Tract 6701, Cook County, Illinois",65,17,031,670100,2021
"Census Tract 6702, Cook County, Illinois",93,17,031,670200,2021
"Census Tract 6703, Cook County, Illinois",79,17,031,670300,2021
"Census Tract 6704, Cook County, Illinois",102,17,031,670400,2021
"Census Tract 6705, Cook County, Illinois",75,17,031,670500,2021
"Census Tract 6706, Cook County, Illinois",105,17,031,670600,2021
"Census Tract 6707, Cook County, Illinois",91,17,031,670700,2021
"Census Tract 6708, Cook County, Illinois",89,17,031,670800,2021
"Census Tract 6709, Cook County, Illinois",58,17,031,670900,2021
"Census Tract 6711, Cook County, Illinois",68,17,031,671100,2021
"Census Tract 6712, Cook County, Illinois",85,17,031,671200,2021
"Census Tract 6713, Cook County, Illinois",188,17,031,671300,2021
"Census Tract 6714, Cook County, Illinois",93,17,031,671400,2021
"Census Tract 6715, Cook County, Illinois",174,17,031,671500,2021
"Census Tract 6716, Cook County, Illinois",296,17,031,671600,2021
"Census Tract 6718, Cook County, Illinois",139,17,031,671800,2021
"Census Tract 6719, Cook County, Illinois",11,17,031,671900,2021
"Census Tract 6720, Cook County, Illinois",398,17,031,672000,2021
"Census Tract 8349, Cook County, Illinois",90,17,031,834900,2021
Census Tract 6701; Cook County; Illinois,112,17,031,670100,2022
Census Tract 6702; Cook County; Illinois,53,17,031,670200,2022
Census Tract 6703; Cook County; Illinois,57,17,031,670300,2022
Census Tract 6704; Cook County; Illinois,167,17,031,670400,2022
Census Tract 6705; Cook County; Illinois,75,17,031,670500,2022
Census Tract 6706; Cook County; Illinois,73,17,031,670600,2022
Census Tract 6707; Cook County; Illinois,109,17,031,670700,2022
