NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",50,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",0,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",9,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",0,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",196,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",160,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",135,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",57,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",224,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",111,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",83,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",58,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",0,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",18,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",32,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",230,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",158,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",7,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",64,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",145,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",11,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",123,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",217,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",0,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",18,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",35,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",59,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",14,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",14,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",61,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",298,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",27,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",123,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",206,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",0,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",23,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",36,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",1,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",27,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",16,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",66,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",374,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",26,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",143,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,384,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,0,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,31,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,41,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,1,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,44,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,17,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,81,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,228,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,196,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,93,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,383,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,0,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,35,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,285,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,165,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,0,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,18,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,0,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,218,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,311,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,87,17,031,834800,2023
