NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",179,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",121,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",233,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",344,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",198,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",140,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",203,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",498,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",209,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",45,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",148,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",163,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",109,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",221,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",308,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",224,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",131,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",195,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",390,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",187,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",71,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",141,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",123,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",90,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",243,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",375,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",178,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",127,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",157,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",414,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",169,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",191,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",128,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",182,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",99,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",218,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",347,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",291,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",133,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",149,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",311,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",165,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",147,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",144,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,223,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,100,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,265,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,300,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,323,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,159,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,117,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,320,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,199,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,227,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,187,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,228,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,82,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,135,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,317,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,424,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,143,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,177,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,320,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,172,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,245,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,180,17,031,834800,2023
