NAME,B23025_005E,state,county,tract,YEAR
"Census Tract 6805, Cook County, Illinois",147,17,031,680500,2018
"Census Tract 6806, Cook County, Illinois",158,17,031,680600,2018
"Census Tract 6809, Cook County, Illinois",349,17,031,680900,2018
"Census Tract 6810, Cook County, Illinois",141,17,031,681000,2018
"Census Tract 6811, Cook County, Illinois",402,17,031,681100,2018
"Census Tract 6812, Cook County, Illinois",267,17,031,681200,2018
"Census Tract 6813, Cook County, Illinois",275,17,031,681300,2018
"Census Tract 6814, Cook County, Illinois",195,17,031,681400,2018
"Census Tract 8346, Cook County, Illinois",217,17,031,834600,2018
"Census Tract 8347, Cook County, Illinois",119,17,031,834700,2018
"Census Tract 8348, Cook County, Illinois",154,17,031,834800,2018
"Census Tract 6805, Cook County, Illinois",174,17,031,680500,2019
"Census Tract 6806, Cook County, Illinois",108,17,031,680600,2019
"Census Tract 6809, Cook County, Illinois",258,17,031,680900,2019
"Census Tract 6810, Cook County, Illinois",176,17,031,681000,2019
"Census Tract 6811, Cook County, Illinois",286,17,031,681100,2019
"Census Tract 6812, Cook County, Illinois",291,17,031,681200,2019
"Census Tract 6813, Cook County, Illinois",292,17,031,681300,2019
"Census Tract 6814, Cook County, Illinois",158,17,031,681400,2019
"Census Tract 8346, Cook County, Illinois",128,17,031,834600,2019
"Census Tract 8347, Cook County, Illinois",131,17,031,834700,2019
"Census Tract 8348, Cook County, Illinois",196,17,031,834800,2019
"Census Tract 6805, Cook County, Illinois",95,17,031,680500,2020
"Census Tract 6806, Cook County, Illinois",90,17,031,680600,2020
"Census Tract 6809, Cook County, Illinois",308,17,031,680900,2020
"Census Tract 6810, Cook County, Illinois",204,17,031,681000,2020
"Census Tract 6811, Cook County, Illinois",227,17,031,681100,2020
"Census Tract 6812, Cook County, Illinois",293,17,031,681200,2020
"Census Tract 6813, Cook County, Illinois",285,17,031,681300,2020
"Census Tract 6814, Cook County, Illinois",133,17,031,681400,2020
"Census Tract 8346, Cook County, Illinois",146,17,031,834600,2020
"Census Tract 8347, Cook County, Illinois",145,17,031,834700,2020
"Census Tract 8348, Cook County, Illinois",178,17,031,834800,2020
"Census Tract 6805, Cook County, Illinois",76,17,031,680500,2021
"Census Tract 6806, Cook County, Illinois",80,17,031,680600,2021
"Census Tract 6809, Cook County, Illinois",509,17,031,680900,2021
"Census Tract 6810, Cook County, Illinois",227,17,031,681000,2021
"Census Tract 6811, Cook County, Illinois",232,17,031,681100,2021
"Census Tract 6812, Cook County, Illinois",315,17,031,681200,2021
"Census Tract 6813, Cook County, Illinois",210,17,031,681300,2021
"Census Tract 6814, Cook County, Illinois",54,17,031,681400,2021
"Census Tract 8346, Cook County, Illinois",128,17,031,834600,2021
"Census Tract 8347, Cook County, Illinois",74,17,031,834700,2021
"Census Tract 8348, Cook County, Illinois",148,17,031,834800,2021
Census Tract 6805; Cook County; Illinois,51,17,031,680500,2022
Census Tract 6806; Cook County; Illinois,187,17,031,680600,2022
Census Tract 6809; Cook County; Illinois,481,17,031,680900,2022
Census Tract 6810; Cook County; Illinois,198,17,031,681000,2022
Census Tract 6811; Cook County; Illinois,225,17,031,681100,2022
Census Tract 6812; Cook County; Illinois,211,17,031,681200,2022
Census Tract 6813; Cook County; Illinois,196,17,031,681300,2022
Census Tract 6814; Cook County; Illinois,45,17,031,681400,2022
Census Tract 8346; Cook County; Illinois,198,17,031,834600,2022
Census Tract 8347; Cook County; Illinois,87,17,031,834700,2022
Census Tract 8348; Cook County; Illinois,143,17,031,834800,2022
Census Tract 6805; Cook County; Illinois,100,17,031,680500,2023
Census Tract 6806; Cook County; Illinois,79,17,031,680600,2023
Census Tract 6809; Cook County; Illinois,460,17,031,680900,2023
Census Tract 6810; Cook County; Illinois,270,17,031,681000,2023
Census Tract 6811; Cook County; Illinois,81,17,031,681100,2023
Census Tract 6812; Cook County; Illinois,143,17,031,681200,2023
Census Tract 6813; Cook County; Illinois,170,17,031,681300,2023
Census Tract 6814; Cook County; Illinois,87,17,031,681400,2023
Census Tract 8346; Cook County; Illinois,173,17,031,834600,2023
Census Tract 8347; Cook County; Illinois,109,17,031,834700,2023
Census Tract 8348; Cook County; Illinois,184,17,031,834800,2023
