NAME_x,white,state_x,county_x,tract,YEAR,NAME_y,black,state_y,county_y,NAME,hispanic,state,county,race_total,white_pct,black_pct,hispanic_pct,majority_race
"Census Tract 1601, Cook County, Illinois",1346,17,31,160100,2018,"Census Tract 1601, Cook County, Illinois",15,17,31,"Census Tract 1601, Cook County, Illinois",608,17,31,1969,0.6835957338750634,0.007618080243778568,0.30878618588115797,white
"Census Tract 1601, Cook County, Illinois",1181,17,31,160100,2019,"Census Tract 1601, Cook County, Illinois",8,17,31,"Census Tract 1601, Cook County, Illinois",670,17,31,1859,0.635287789133943,0.004303388918773534,0.36040882194728346,white
"Census Tract 1601, Cook County, Illinois",1318,17,31,160100,2020,"Census Tract 1601, Cook County, Illinois",0,17,31,"Census Tract 1601, Cook County, Illinois",629,17,31,1947,0.6769388803287109,0.0,0.32306111967128914,white
"Census Tract 1601, Cook County, Illinois",1724,17,31,160100,2021,"Census Tract 1601, Cook County, Illinois",0,17,31,"Census Tract 1601, Cook County, Illinois",540,17,31,2264,0.7614840989399293,0.0,0.23851590106007067,white
Census Tract 1601; Cook County; Illinois,1500,17,31,160100,2022,Census Tract 1601; Cook County; Illinois,0,17,31,Census Tract 1601; Cook County; Illinois,654,17,31,2154,0.6963788300835655,0.0,0.30362116991643456,white
Census Tract 1601; Cook County; Illinois,1514,17,31,160100,2023,Census Tract 1601; Cook County; Illinois,0,17,31,Census Tract 1601; Cook County; Illinois,654,17,31,2168,0.698339483394834,0.0,0.3016605166051661,white
"Census Tract 1602, Cook County, Illinois",1902,17,31,160200,2018,"Census Tract 1602, Cook County, Illinois",27,17,31,"Census Tract 1602, Cook County, Illinois",648,17,31,2577,0.7380675203725262,0.010477299185098952,0.25145518044237486,white
"Census Tract 1602, Cook County, Illinois",1862,17,31,160200,2019,"Census Tract 1602, Cook County, Illinois",92,17,31,"Census Tract 1602, Cook County, Illinois",634,17,31,2588,0.7194744976816074,0.03554868624420402,0.24497681607418856,white
"Census Tract 1602, Cook County, Illinois",1937,17,31,160200,2020,"Census Tract 1602, Cook County, Illinois",64,17,31,"Census Tract 1602, Cook County, Illinois",577,17,31,2578,0.7513576415826222,0.02482544608223429,0.22381691233514353,white
"Census Tract 1602, Cook County, Illinois",2101,17,31,160200,2021,"Census Tract 1602, Cook County, Illinois",81,17,31,"Census Tract 1602, Cook County, Illinois",663,17,31,2845,0.7384885764499122,0.028471001757469243,0.23304042179261863,white
Census Tract 1602; Cook County; Illinois,2114,17,31,160200,2022,Census Tract 1602; Cook County; Illinois,86,17,31,Census Tract 1602; Cook County; Illinois,886,17,31,3086,0.6850291639662994,0.027867790019442645,0.28710304601425796,white
Census Tract 1602; Cook County; Illinois,2175,17,31,160200,2023,Census Tract 1602; Cook County; Illinois,174,17,31,Census Tract 1602; Cook County; Illinois,691,17,31,3040,0.7154605263157895,0.057236842105263155,0.22730263157894737,white
"Census Tract 1603, Cook County, Illinois",2233,17,31,160300,2018,"Census Tract 1603, Cook County, Illinois",288,17,31,"Census Tract 1603, Cook County, Illinois",566,17,31,3087,0.7233560090702947,0.09329446064139942,0.1833495302883058,white
"Census Tract 1603, Cook County, Illinois",2088,17,31,160300,2019,"Census Tract 1603, Cook County, Illinois",203,17,31,"Census Tract 1603, Cook County, Illinois",486,17,31,2777,0.7518905293482175,0.0731004681310767,0.1750090025207058,white
"Census Tract 1603, Cook County, Illinois",2189,17,31,160300,2020,"Census Tract 1603, Cook County, Illinois",241,17,31,"Census Tract 1603, Cook County, Illinois",506,17,31,2936,0.7455722070844687,0.08208446866485014,0.1723433242506812,white
"Census Tract 1603, Cook County, Illinois",2053,17,31,160300,2021,"Census Tract 1603, Cook County, Illinois",136,17,31,"Census Tract 1603, Cook County, Illinois",572,17,31,2761,0.7435711698659906,0.04925751539297356,0.20717131474103587,white
Census Tract 1603; Cook County; Illinois,2095,17,31,160300,2022,Census Tract 1603; Cook County; Illinois,200,17,31,Census Tract 1603; Cook County; Illinois,550,17,31,2845,0.7363796133567663,0.070298769771529,0.19332161687170474,white
Census Tract 1603; Cook County; Illinois,1896,17,31,160300,2023,Census Tract 1603; Cook County; Illinois,168,17,31,Census Tract 1603; Cook County; Illinois,514,17,31,2578,0.7354538401861909,0.06516679596586501,0.19937936384794414,white
"Census Tract 1604, Cook County, Illinois",2207,17,31,160400,2018,"Census Tract 1604, Cook County, Illinois",217,17,31,"Census Tract 1604, Cook County, Illinois",1791,17,31,4215,0.5236061684460261,0.05148279952550415,0.42491103202846975,white
"Census Tract 1604, Cook County, Illinois",2241,17,31,160400,2019,"Census Tract 1604, Cook County, Illinois",200,17,31,"Census Tract 1604, Cook County, Illinois",1771,17,31,4212,0.532051282051282,0.04748338081671415,0.4204653371320038,white
"Census Tract 1604, Cook County, Illinois",2585,17,31,160400,2020,"Census Tract 1604, Cook County, Illinois",122,17,31,"Census Tract 1604, Cook County, Illinois",1442,17,31,4149,0.6230416967944082,0.02940467582550012,0.3475536273800916,white
"Census Tract 1604, Cook County, Illinois",2637,17,31,160400,2021,"Census Tract 1604, Cook County, Illinois",118,17,31,"Census Tract 1604, Cook County, Illinois",1415,17,31,4170,0.6323741007194245,0.028297362110311752,0.3393285371702638,white
Census Tract 1604; Cook County; Illinois,2683,17,31,160400,2022,Census Tract 1604; Cook County; Illinois,178,17,31,Census Tract 1604; Cook County; Illinois,1758,17,31,4619,0.580861658367612,0.03853647975752327,0.38060186187486467,white
