NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",15,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",27,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",288,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",217,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",243,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",17,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",62,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",109,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",205,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",80,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",48,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",53,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",138,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",21,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",110,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",8,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",92,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",203,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",200,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",188,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",45,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",96,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",140,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",242,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",151,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",79,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",42,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",143,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",26,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",95,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",0,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",64,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",241,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",122,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",185,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",50,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",79,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",138,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",152,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",44,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",56,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",52,17,031,161000,2020
