NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",848,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",999,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",1520,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",1477,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",911,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",968,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",1133,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",1223,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",1854,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",1450,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",921,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",660,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",666,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",714,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",1059,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",813,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",1010,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",1570,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",1530,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",1034,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",1000,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",1117,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",1219,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",1886,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",1528,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",901,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",678,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",664,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",770,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",1100,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",836,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",1032,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",1621,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",1680,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",1092,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",1269,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",1263,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",1299,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",2133,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",1705,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",1010,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",710,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",712,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",890,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",1024,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",878,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",1060,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",1598,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",1731,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",1237,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",1295,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",1335,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",1285,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",2201,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",1722,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",1021,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",681,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",762,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",947,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",1100,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,895,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,1200,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,1669,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,1929,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,1230,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,1263,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,1381,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,1409,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,2262,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,1745,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,1044,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,712,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,734,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,948,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,1202,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,908,17,031,160100,2023
